date,UK,China
1500,2815,47833.2
1600,6007,74304
1700,10709,64087.2
1820,36232,176936.4
1830,42228,
1831,44249,
1832,43800,
1833,44249,
1834,46046,
1835,48517,
1836,50314,
1837,49640,
1838,52336,
1839,54806,
1840,53234,
1841,52111,
1842,50988,
1843,51886,
1844,55031,
1845,57951,
1846,61770,
1847,62219,
1848,62893,
1849,64016,
1850,63342,191332.8
1851,66037,
1852,67160,
1853,69631,
1854,71428,
1855,71203,
1856,76370,
1857,77717,
1858,77942,
1859,79964,
1860,81760,
1861,84007,
1862,84680,
1863,85354,
1864,87600,
1865,90296,
1866,91644,
1867,90745,
1868,93665,
1869,94339,
1870,100179.628,146858.76
1871,105570.46,
1872,105795.078,
1873,108265.876,
1874,110062.82,
1875,112758.236,
1876,113881.326,
1877,115004.416,
1878,115453.652,
1879,115004.416,
1880,120395.248,
1881,124662.99,
1882,128256.878,
1883,129155.35,
1884,129379.968,
1885,128706.114,
1886,130727.676,
1887,135893.89,
1888,141958.576,
1889,149595.588,
1890,150269.442,158963.346
1891,150269.442,
1892,146675.554,
1893,146675.554,
1894,156558.746,
1895,161500.342,
1896,168238.882,
1897,170485.062,
1898,178795.928,
1899,186208.322,
1900,184860.614,168851.196
1901,184860.614,
1902,189577.592,
1903,187556.03,
1904,188679.12,
1905,194294.57,
1906,200808.492,
1907,204626.998,
1908,196316.132,
1909,200808.492,
1910,207097.796,
1911,213162.482,
1912,216307.134,
1913,224618,186867.594
1914,226864.18,
1915,245058.238,
1916,250449.07,
1917,252695.25,
1918,254267.576,
1919,226639.562,
1920,212937.864,
1921,195642.278,
1922,205750.088,
1923,212264.01,
1924,221024.112,
1925,231805.776,
1926,223270.292,
1927,241239.732,
1928,244159.766,
1929,251347.542,212145.66
1930,249550.598,214836.858
1931,236747.372,217024.182
1932,238544.316,223921.296
1933,245507.474,223921.296
1934,261679.97,204406.434
1935,271787.78,220901.922
1936,284141.77,234857.142
1937,294024.962,229137.282
1938,297618.85,223417.422
1939,300538.884,
1940,330637.696,
1941,360736.508,
1942,369721.228,
1943,377807.476,
1944,362982.688,
1945,347034.81,
1946,331985.404,
1947,327043.808,
1948,337376.236,
1949,349954.844,
1950,347850,189618.39
1951,358234,211869.342
1952,357585,236730.996
1953,371646,248477.22
1954,386789,256619.7
1955,400850,271602.792
1956,405825,296358.408
1957,412315,313768.764
1958,411450,349056.198
1959,428107,353825.586
1960,452768,341871.156
1961,467694,282581.208
1962,472454,283643.91
1963,490625,311748.624
1964,516584,348541.488
1965,529996,388369.206
1966,540163,424802.934
1967,552277,412857.018
1968,574775,404591.472
1969,585207,439279.83
1970,599016,492989.238
1971,611705,517532.004
1972,633352,532655.964
1973,675941,572306.436
1974,666755,581989.176
1975,665984,617919.804
1976,680933,614221.632
1977,695699,652557.078
1978,720501,723754.242
1979,740370,779567.382
1980,728224,805843.908
1981,718733,854014.572
1982,729861,918263.538
1983,755779,996164.316
1984,774665,1120180.788
1985,802000,1235838.834
1986,837280,1318640.58
1987,877143,1457462.898
1988,920841,1560402.576
1989,940908,1588103.262
1990,944610,1643861.448
1991,932931.6189,1752176.556
1992,937101.4406,1922554.854
1993,961893.3222,2108642.256
1994,1000609.189,2319724.44
1995,1025928.542,2670365.016
1996,1053288.234,2725363.134
1997,1080174.871,2868944.778
1998,1118097.298,2877230.448
1999,1153330.596,3066155.334
2000,1196798.08,3343168.386
2001,1228687.171,3700336.878
2002,1258818.116,4159495.35
2003,1312952.789,4789498.842
2004,1345171.197,5273238.225
2005,1382924.09,5869114.144
2006,1424993.916,6614491.641
2007,1461411.586,7553749.454
2008,1456559.069,8278909.401
2009,1393772.48,9040569.066
2010,1420412.745,9980788.249
2011,1443780.262,10909001.56
2012,1453295.163,11748994.68
2013,1477492.762,12653667.27
2014,1519175.211,13590038.64
2015,1555635.416,14473391.16
