name,val1,val2,color
CDU,32.5,29.8,#000000
SPD,21.5,10.6,#e25050
FDP,3.8,4.9,#f0a330
Green,7.1,5.2,#65a68c
Left,23.7,16.3,#ca6dbf
AfD,,24.2,#6da8e1
