barDate,GDP - quarterly change  %,lineDate,UK LFS: Unemployment: aged 16+ VOLA,highlight
01/02/00,1.01,31/01/00,1685,
01/05/00,0.73,29/02/00,1682,
01/08/00,0.29,31/03/00,1655,yes
01/11/00,0.15,28/04/00,1640,
01/02/01,1.31,31/05/00,1599,
01/05/01,0.69,30/06/00,1551,
01/08/01,0.68,31/07/00,1529,
01/11/01,0.4,31/08/00,1548,
01/02/02,0.42,29/09/00,1571,
01/05/02,0.73,31/10/00,1540,
01/08/02,0.76,30/11/00,1520,
01/11/02,0.87,29/12/00,1504,
01/02/03,0.82,31/01/01,1516,
01/05/03,0.91,28/02/01,1481,
01/08/03,1,30/03/01,1459,
01/11/03,0.83,30/04/01,1431,
01/02/04,0.56,31/05/01,1468,
01/05/04,0.47,29/06/01,1472,
01/08/04,0.19,31/07/01,1483,
01/11/04,0.6,31/08/01,1487,
01/02/05,0.58,28/09/01,1487,
01/05/05,1.08,31/10/01,1495,
01/08/05,1.09,30/11/01,1520,
01/11/05,1.36,31/12/01,1518,
01/02/06,0.33,31/01/02,1508,
01/05/06,0.23,28/02/02,1515,
01/08/06,0.14,29/03/02,1522,
01/11/06,0.36,30/04/02,1542,
01/02/07,1.01,31/05/02,1520,
01/05/07,0.74,28/06/02,1527,
01/08/07,0.76,31/07/02,1539,
01/11/07,0.75,30/08/02,1566,
01/02/08,0.15,30/09/02,1546,
01/05/08,-0.65,31/10/02,1532,
01/08/08,-1.69,29/11/02,1516,
01/11/08,-2.26,31/12/02,1480,
01/02/09,-1.63,31/01/03,1517,
01/05/09,-0.23,28/02/03,1531,
01/08/09,0.07,31/03/03,1517,
01/11/09,0.41,30/04/03,1486,
01/02/10,0.55,30/05/03,1467,
01/05/10,1.01,30/06/03,1506,
01/08/10,0.56,31/07/03,1504,
01/11/10,0.12,29/08/03,1502,
01/02/11,0.56,30/09/03,1473,
01/05/11,0.07,31/10/03,1461,
01/08/11,0.43,28/11/03,1457,
01/11/11,0.25,31/12/03,1442,
01/02/12,0.44,30/01/04,1436,
01/05/12,-0.09,27/02/04,1434,
01/08/12,1.14,31/03/04,1437,
01/11/12,-0.23,30/04/04,1435,
01/02/13,0.63,31/05/04,1437,
01/05/13,0.52,30/06/04,1423,
01/08/13,0.76,30/07/04,1405,
01/11/13,0.49,31/08/04,1401,
01/02/14,0.85,30/09/04,1397,
01/05/14,0.93,29/10/04,1407,
01/08/14,0.81,30/11/04,1423,
01/11/14,0.83,31/12/04,1425,
01/02/15,0.26,31/01/05,1447,
01/05/15,0.42,28/02/05,1416,
01/08/15,0.44,31/03/05,1420,
01/11/15,0.68,29/04/05,1436,
01/02/16,0.45,31/05/05,1437,
01/05/16,0.59,30/06/05,1424,
,,29/07/05,1420,
,,31/08/05,1437,
,,30/09/05,1500,
,,31/10/05,1538,
,,30/11/05,1567,
,,30/12/05,1551,
,,31/01/06,1584,
,,28/02/06,1604,
,,31/03/06,1633,
,,28/04/06,1664,
,,31/05/06,1685,
,,30/06/06,1698,
,,31/07/06,1690,
,,31/08/06,1693,
,,29/09/06,1691,
,,31/10/06,1674,
,,30/11/06,1701,
,,29/12/06,1703,
,,31/01/07,1708,
,,28/02/07,1704,
,,30/03/07,1692,
,,30/04/07,1670,
,,31/05/07,1658,
,,29/06/07,1645,
,,31/07/07,1645,
,,31/08/07,1650,
,,28/09/07,1629,
,,31/10/07,1633,
,,30/11/07,1608,
,,31/12/07,1617,
,,31/01/08,1622,
,,29/02/08,1622,
,,31/03/08,1667,
,,30/04/08,1625,
,,30/05/08,1680,
,,30/06/08,1724,
,,31/07/08,1793,
,,29/08/08,1840,
,,30/09/08,1875,
,,31/10/08,1941,
,,28/11/08,2003,
,,31/12/08,2057,
,,30/01/09,2128,
,,27/02/09,2235,
,,31/03/09,2296,
,,30/04/09,2395,
,,29/05/09,2448,
,,30/06/09,2478,
,,31/07/09,2484,
,,31/08/09,2475,
,,30/09/09,2484,
,,30/10/09,2455,
,,30/11/09,2453,
,,31/12/09,2434,
,,29/01/10,2496,
,,26/02/10,2526,
,,31/03/10,2510,
,,30/04/10,2508,
,,31/05/10,2488,
,,30/06/10,2488,
,,30/07/10,2476,
,,31/08/10,2470,
,,30/09/10,2513,
,,29/10/10,2502,
,,30/11/10,2503,
,,31/12/10,2524,
,,31/01/11,2492,
,,28/02/11,2483,
,,31/03/11,2462,
,,29/04/11,2500,
,,31/05/11,2540,
,,30/06/11,2556,
,,29/07/11,2612,
,,31/08/11,2664,
,,30/09/11,2680,
,,31/10/11,2708,
,,30/11/11,2684,
,,30/12/11,2670,
,,31/01/12,2653,
,,29/02/12,2633,
,,30/03/12,2624,
,,30/04/12,2605,
,,31/05/12,2582,
,,29/06/12,2607,
,,31/07/12,2550,
,,31/08/12,2538,
,,28/09/12,2536,
,,31/10/12,2532,
,,30/11/12,2536,
,,31/12/12,2538,
,,31/01/13,2585,
,,28/02/13,2542,
,,29/03/13,2527,
,,30/04/13,2510,
,,31/05/13,2514,
,,28/06/13,2492,
,,31/07/13,2502,
,,30/08/13,2481,
,,30/09/13,2406,
,,31/10/13,2340,
,,29/11/13,2359,
,,31/12/13,2343,
,,31/01/14,2257,
,,28/02/14,2214,
,,31/03/14,2164,
,,30/04/14,2109,
,,30/05/14,2060,
,,30/06/14,2009,
,,31/07/14,1969,
,,29/08/14,1955,
,,30/09/14,1956,
,,31/10/14,1924,
,,28/11/14,1875,
,,31/12/14,1864,
,,30/01/15,1841,
,,27/02/15,1832,
,,31/03/15,1818,
,,30/04/15,1846,
,,29/05/15,1848,
,,30/06/15,1822,
,,31/07/15,1774,
,,31/08/15,1750,
,,30/09/15,1718,
,,30/10/15,1685,
,,30/11/15,1694,
,,31/12/15,1691,
,,29/01/16,1700,
,,29/02/16,1692,
,,31/03/16,1671,
,,29/04/16,1646,
,,31/05/16,1641,
