England,England.capacity,Spain,Spain.capacity,Italy,Italy. capacity,Germany,Germany.capacity
Manchester City,55097,Barcelona,99354,Inter Milan,80018,Bayern Munchen,75024
Leicester City,32262,Atl madrid,54907,Napoli,60240,Borussia Dortmund,81359
Manchester United,75731,Real madrid,81044,Fiorentina,47290,VfL Wolfsburg,26385
Arsenal,60432,Celta de Vigo,31800,Roma,72698,Borussia Monchengladbach,54000
Tottenham Hotspur,36284,Deportivo de La Coru–a,34600,Milan,80018,Hertha BSC,74475
Liverpool,45522,Villareal,25000,Sassuolo,23717,Bayer Leverkusen,30210
Crystal Palace,26309,Ath Bilbao,53332,Juventus,41254,Hamburger SV,51500
West Ham,35016,Eibar,6300,Torino,28140,Schalke,78996
Everton,40221,Valencia,55000,Atalanta,26562,FSV Mainz 05,34000
Southampton,32505,Real Betis,56500,Lazio,72698,ÊFC K_ln,50374
Watford,21577,Espanyol,40500,Udinese,25144,FC Ingolstadt 04,15800
Stoke,27743,Sevilla,42500,Empoli,16800,SV Darmstadt 98,17000
West Brom,26850,Getafe,17393,Chievo,39371,Eintracht Frankfurt,51500
Chelsea,41798,Rayo Vallecano,14708,Sampdoria,36599,Hannover 96,49000
Swansea,20520,Real Sociedad,32076,Genoa,36599,SV Werder Bremen,42100
Norwich,27244,Spoting de Gij—n,30000,Palermo,37619,FC Augsburg,30660
Sunderland,49000,Granada CF,22524,Frosinone,10000,VfB Stuttgart,60441
Bournemouth,11700,M‡laga,30044,Bologna,38279,TSG 1899 Hoffenheim,30150
Newcastle,52405,Las Palmas,31250,Carpi,21151,MEDIAN,49687
Aston Villa,42788,Levante,25354,Verona,39371,MEAN,47387.44444
MEDIAN,35016,MEDIAN,31938,MEDIAN,37949,,
MEAN,37153,MEAN,39209.3,MEAN,41678.4,,
