Africa,Australasia,China region,Eastern Europe and Central Asia,Latin America,Middle East,North America,Northeast Asia,Other Asia,Western Europe
0.00112,0.00013,0.00248,0.00064,0.00051,0,0,0.00064,0,0.00514
0,0.000187111,0,0,0,0,0,0,0,0
0,0.001973908,0.010946041,0,0,0,0,0,0,0
0,7.33669E-05,0.00348587,0.005912525,0,0,0,0,0,0
0,7.00926E-05,0.003014755,0.000725527,0.002046984,0,0,0,0,0
0.000839128,0.000235715,0.005396477,0.001216279,0.000355789,0.001810902,0,0.004276712,0,0.003788195
0.00110314,0.000646072,0.009941726,0.001143566,0.004723858,0.002349044,0.016172354,0.004710662,0,0.011212312
0,0.001209263,0.008989305,0.000963755,0.001006953,0,0,0.001069848,0,0
0.0016,0.00135,0.01019,0.00107,0.00128,0.00495,0.00412,0.00536,0.00589,0.00534
0,0.000780421,0.009551261,0.020219035,0.002824507,0,0,0.00320602,0,0.042935936
