1996,2016,value
Chaumet family,Family,1
Chaumet family,Family,1
Family,Foundation,1
Family,Kering,1
Family,Kering,1
Family,Kering,1
Family,LVMH,1
Family,LVMH,1
Foundation,LVMH,1
Independent,LVMH,1
Independent,LVMH,1
Piaget family,Private,1
Piaget family,Private,1
Private,Richemont,1
Private,Richemont,1
Private,Richemont,1
Private,Richemont,1
Private,Richemont,1
Private,Richemont,1
Private,Richemont,1
Private,Richemont,1
Private,Richemont,1
SMH,Swatch Group,1
SMH,Swatch Group,1
SMH,Swatch Group,1
SMH,Swatch Group,1
Soviet Union,Swatch Group,1
Soviet Union,Swatch Group,1
VDO,Swatch Group,1
VDO,Swatch Group,1
