name,value,size,group,highlight
Manchester City,55097,95.65695168,Endland,yes
Leicester City,32262,88.57571747,Endland,
Manchester United,75731,45.88235346,Endland,
Arsenal,60432,28.34800562,Endland,
Tottenham Hotspur,36284,26.07020541,Endland,
Liverpool,45522,31.34243056,Endland,
Crystal Palace,26309,32.3424092,Endland,
West Ham,35016,43.57909629,Endland,
Everton,40221,92.6487966,Endland,
Southampton,32505,45.20870816,Endland,
Watford,21577,10.11930365,Endland,
Stoke,27743,9.13121722,Endland,yes
West Brom,26850,81.21362474,Endland,
Chelsea,41798,0.573672342,Endland,
Swansea,20520,18.95875244,Endland,
Norwich,27244,99.59502235,Endland,
Sunderland,49000,32.63040765,Endland,
Bournemouth,11700,33.38120352,Endland,
Newcastle,52405,36.66432026,Endland,
Aston Villa,42788,73.36985431,Endland,
MEDIAN,35016,86.03213867,Endland,
MEAN,37153,17.10994951,Endland,
Barcelona,100000,47.32724506,Spain,yes
Atl madrid,54907,45.3966332,Spain,
Real madrid,81044,17.98455502,Spain,
Celta de Vigo,31800,55.98798808,Spain,
Deportivo de La Coru_a,34600,59.93202583,Spain,yes
Villareal,25000,49.40501459,Spain,
Ath Bilbao,53332,71.35413776,Spain,
Eibar,6300,71.97645288,Spain,
Valencia,55000,62.89516368,Spain,
Real Betis,56500,56.22708377,Spain,
Espanyol,40500,2.676272525,Spain,
Sevilla,42500,49.02244692,Spain,
Getafe,17393,26.87182359,Spain,yes
Rayo Vallecano,14708,7.675755899,Spain,
Real Sociedad,32076,49.06170274,Spain,
Spoting de Gij‹n,30000,53.03203744,Spain,
Granada CF,22524,21.18465023,Spain,
M_laga,30044,93.93270596,Spain,
Las Palmas,31250,22.34546384,Spain,
Levante,25354,40.31060941,Spain,
MEDIAN,31938,47.43188891,Spain,
MEAN,39209.3,40.19422616,Spain,
Inter Milan,80018,90.13271055,Spain,
Napoli,60240,83.70447855,Spain,
Fiorentina,47290,26.36554382,Spain,
Roma,72698,51.46234106,Spain,
Milan,80018,90.28015478,Spain,
Sassuolo,23717,38.05106442,Spain,
Juventus,41254,18.01580247,Spain,
Torino,28140,26.51789092,Spain,
Atalanta,26562,99.32487482,Spain,
Lazio,72698,79.12600118,Spain,
Udinese,25144,12.84716233,Spain,
Empoli,16800,88.15541252,Spain,
Chievo,39371,15.02317649,Spain,
Sampdoria,36599,62.99853961,Spain,
Genoa,36599,42.0611634,Spain,
Palermo,37619,43.45425927,Spain,
Frosinone,10000,63.48765194,Spain,
Bologna,38279,46.33996825,Spain,
Carpi,21151,55.28158875,Spain,
Verona,39371,79.93792266,Spain,
MEDIAN,37949,63.71660195,Spain,
MEAN,41678.4,68.88936211,Spain,
Inter Milan,80018,90.13271055,Italy,
Napoli,60240,83.70447855,Italy,
Fiorentina,47290,26.36554382,Italy,
Roma,72698,51.46234106,Italy,
Milan,80018,90.28015478,Italy,
Sassuolo,23717,38.05106442,Italy,yes
Juventus,41254,18.01580247,Italy,
Torino,28140,26.51789092,Italy,
Atalanta,26562,99.32487482,Italy,
Lazio,72698,79.12600118,Italy,
Udinese,25144,12.84716233,Italy,
Empoli,16800,88.15541252,Italy,
Chievo,39371,15.02317649,Italy,
Sampdoria,36599,62.99853961,Italy,
Genoa,36599,42.0611634,Italy,
Palermo,37619,43.45425927,Italy,
Frosinone,10000,63.48765194,Italy,
Bologna,38279,46.33996825,Italy,
Carpi,21151,55.28158875,Italy,
Verona,39371,79.93792266,Italy,
MEDIAN,37949,63.71660195,Italy,
MEAN,41678.4,68.88936211,Italy,
Bayern Munchen,75024,15.87623908,Germany,
Borussia Dortmund,81359,3.495477057,Germany,
VfL Wolfsburg,26385,27.76675858,Germany,
Borussia Monchengladbach,54000,86.34988638,Germany,
Hertha BSC,74475,34.20160258,Germany,
Bayer Leverkusen,30210,42.20952756,Germany,
Hamburger SV,51500,8.111377979,Germany,
Schalke,78996,22.43298249,Germany,
FSV Mainz 05,34000,53.23797761,Germany,
_FC K_ln,50374,13.18825574,Germany,
FC Ingolstadt 04,15800,14.70246052,Germany,yes
SV Darmstadt 98,17000,61.57528155,Germany,
Eintracht Frankfurt,51500,76.27384724,Germany,
Hannover 96,49000,89.8418041,Germany,
SV Werder Bremen,42100,84.79104421,Germany,
FC Augsburg,30660,2.386499929,Germany,
VfB Stuttgart,60441,77.26819347,Germany,
TSG 1899 Hoffenheim,30150,65.12269964,Germany,
MEDIAN,49687,38.54289905,Germany,
MEAN,47387.44444,41.8386058,Germany,yes
