ons_id,ons_region_id,constituency_name,county_name,region_name,country_name,constituency_type,declaration_time,result,first_party,second_party,electorate,valid_votes,invalid_votes,majority,con,lab,ld,ukip,green,snp,pc,dup,sf,sdlp,uup,alliance,other
W07000049,W92000004,Aberavon,West Glamorgan,Wales,Wales,County,08/05/15 03:19,Lab hold,Lab,UKIP,49821,31523,57,10445,3742,15416,1397,4971,711,0,3663,0,0,0,0,0,1623
W07000058,W92000004,Aberconwy,Clwyd,Wales,Wales,County,08/05/15 02:48,Con hold,Con,Lab,45525,30148,59,3999,12513,8514,1391,3467,727,0,3536,0,0,0,0,0,0
S14000001,S92000003,Aberdeen North,Scotland,Scotland,Scotland,Borough,08/05/15 03:40,SNP gain from Lab,SNP,Lab,67745,43936,78,13396,5304,11397,2050,0,0,24793,0,0,0,0,0,0,392
S14000002,S92000003,Aberdeen South,Scotland,Scotland,Scotland,Borough,08/05/15 09:39,SNP gain from Lab,SNP,Lab,68056,48551,56,7230,11087,12991,2252,897,964,20221,0,0,0,0,0,0,139
S14000003,S92000003,Airdrie and Shotts,Scotland,Scotland,Scotland,County,08/05/15 03:07,SNP gain from Lab,SNP,Lab,66792,44286,45,8779,3389,15108,678,1088,0,23887,0,0,0,0,0,0,136
E14000530,E12000008,Aldershot,Hampshire,South East,England,Borough,08/05/15 04:39,Con hold,Con,Lab,72430,46191,114,14901,23369,8468,4076,8253,2025,0,0,0,0,0,0,0,0
E14000531,E12000005,Aldridge-Brownhills,West Midlands,West Midlands,England,Borough,08/05/15 04:55,Con hold,Con,Lab,60215,39497,105,11723,20558,8835,1330,7751,826,0,0,0,0,0,0,0,197
E14000532,E12000002,Altrincham and Sale West,Greater Manchester,North West,England,Borough,08/05/15 05:34,Con hold,Con,Lab,71511,50517,158,13290,26771,13481,4235,4047,1983,0,0,0,0,0,0,0,0
W07000043,W92000004,Alyn and Deeside,Clwyd,Wales,Wales,County,08/05/15 03:38,Lab hold,Lab,Con,62016,41314,55,3343,13197,16540,1733,7260,976,0,1608,0,0,0,0,0,0
E14000533,E12000004,Amber Valley,Derbyshire,East Midlands,England,County,08/05/15 04:31,Con hold,Con,Lab,69510,45717,103,4205,20106,15901,1360,7263,1087,0,0,0,0,0,0,0,0
