ons_id,ons_region_id,constituency_name,county_name,region_name,country_name,constituency_type,declaration_time,result,first_party,second_party,electorate,valid_votes,invalid_votes,majority,con,lab,ld,ukip,green,snp,pc,dup,sf,sdlp,uup,alliance,other
S14000004,S92000003,Angus,Scotland,Scotland,Scotland,County,08/05/15 02:37,SNP hold,SNP,Con,65792,44485,35,11230,12900,3919,1216,1355,965,24130,0,0,0,0,0,0,0
W07000057,W92000004,Arfon,Gwynedd,Wales,Wales,County,08/05/15 02:17,PC hold,PC,Lab,40492,26837,95,3668,3521,8122,718,2277,0,0,11790,0,0,0,0,0,409
S14000005,S92000003,Argyll and Bute,Scotland,Scotland,Scotland,County,08/05/15 05:39,SNP gain from LD,SNP,LD,68875,51883,59,8473,7733,5394,14486,1311,0,22959,0,0,0,0,0,0,0
E14000534,E12000008,Arundel and South Downs,West Sussex,South East,England,County,08/05/15 07:51,Con hold,Con,UKIP,77242,56477,242,26177,34331,6324,4062,8154,3606,0,0,0,0,0,0,0,0
E14000535,E12000004,Ashfield,Nottinghamshire,East Midlands,England,County,08/05/15 05:41,Lab hold,Lab,Con,77091,47409,209,8820,10628,19448,7030,10150,0,0,0,0,0,0,0,0,153
E14000536,E12000008,Ashford,Kent,South East,England,County,08/05/15 05:19,Con hold,Con,UKIP,85177,57372,175,19296,30094,10580,3433,10798,2467,0,0,0,0,0,0,0,0
E14000537,E12000002,Ashton-Under-Lyne,Greater Manchester,North West,England,Borough,08/05/15 08:09,Lab hold,Lab,Con,68343,38918,198,10756,8610,19366,943,8468,1531,0,0,0,0,0,0,0,0
E14000538,E12000008,Aylesbury,Buckinghamshire,South East,England,County,08/05/15 06:00,Con hold,Con,UKIP,80315,55419,235,17158,28083,8391,5885,10925,2135,0,0,0,0,0,0,0,0
S14000006,S92000003,"Ayr, Carrick and Cumnock",Scotland,Scotland,Scotland,County,08/05/15 09:40,SNP gain from Lab,SNP,Lab,72995,52209,59,11265,10355,14227,855,1280,0,25492,0,0,0,0,0,0,0
E14000539,E12000008,Banbury,Oxfordshire,South East,England,County,08/05/15 07:23,Con hold,Con,Lab,86420,58008,183,18395,30749,12354,3440,8050,2686,0,0,0,0,0,0,0,729
S14000007,S92000003,Banff and Buchan,Scotland,Scotland,Scotland,County,08/05/15 09:40,SNP hold,SNP,Con,68609,45629,112,14339,13148,2647,2347,0,0,27487,0,0,0,0,0,0,0
E14000540,E12000007,Barking,London,London,England,Borough,08/05/15 04:38,Lab hold,Lab,UKIP,73977,43041,111,15272,7019,24826,562,9554,897,0,0,0,0,0,0,0,183
E14000541,E12000003,Barnsley Central,South Yorkshire,Yorkshire and The Humber,England,Borough,08/05/15 03:34,Lab hold,Lab,UKIP,64534,36560,110,12435,5485,20376,770,7941,938,0,0,0,0,0,0,0,1050
E14000542,E12000003,Barnsley East,South Yorkshire,Yorkshire and The Humber,England,County,08/05/15 04:02,Lab hold,Lab,UKIP,69135,38517,180,12034,5622,21079,1217,9045,0,0,0,0,0,0,0,0,1554
E14000543,E12000002,Barrow and Furness,Cumbria,North West,England,County,08/05/15 06:53,Lab hold,Lab,Con,68338,43275,159,795,17525,18320,1169,5070,1061,0,0,0,0,0,0,0,130
E14000544,E12000006,Basildon and Billericay,Essex,East,England,Borough,08/05/15 03:23,Con hold,Con,Lab,66347,43028,198,12482,22668,10186,1636,8538,0,0,0,0,0,0,0,0,0
E14000545,E12000008,Basingstoke,Hampshire,South East,England,Borough,08/05/15 05:17,Con hold,Con,Lab,79665,53076,219,11063,25769,14706,3919,8290,0,0,0,0,0,0,0,0,392
E14000546,E12000004,Bassetlaw,Nottinghamshire,East Midlands,England,County,08/05/15 05:31,Lab hold,Lab,Con,76796,49289,170,8843,15122,23965,1331,7865,1006,0,0,0,0,0,0,0,0
E14000547,E12000009,Bath,Avon,South West,England,Borough,08/05/15 04:41,Con gain from LD,Con,LD,63084,47167,192,3833,17833,6216,14000,2922,5634,0,0,0,0,0,0,0,562
E14000548,E12000003,Batley and Spen,West Yorkshire,Yorkshire and The Humber,England,Borough,08/05/15 06:29,Lab hold,Lab,Con,78373,50479,200,6057,15769,21826,2396,9080,1232,0,0,0,0,0,0,0,176
E14000549,E12000007,Battersea,London,London,England,Borough,08/05/15 01:23,Con hold,Con,Lab,76111,51031,141,7938,26730,18792,2241,1586,1682,0,0,0,0,0,0,0,0
E14000550,E12000008,Beaconsfield,Buckinghamshire,South East,England,County,08/05/15 06:51,Con hold,Con,UKIP,74726,53163,261,26311,33621,6074,3927,7310,2231,0,0,0,0,0,0,0,0
E14000551,E12000007,Beckenham,London,London,England,Borough,08/05/15 03:40,Con hold,Con,Lab,67439,48803,119,18471,27955,9484,3378,6108,1878,0,0,0,0,0,0,0,0
E14000552,E12000006,Bedford,Bedfordshire,East,England,Borough,08/05/15 09:19,Con hold,Con,Lab,69311,46086,258,1097,19625,18528,1958,4434,1412,0,0,0,0,0,0,0,129
N06000001,N92000002,Belfast East,Northern Ireland,Northern Ireland,Northern Ireland,Borough,08/05/15 02:47,DUP gain from Alliance,DUP,Alliance,63157,39682,178,2597,1121,0,0,0,1058,0,0,19575,823,127,0,16978,0
N06000002,N92000002,Belfast North,Northern Ireland,Northern Ireland,Northern Ireland,Borough,08/05/15 03:29,DUP hold,DUP,SF,68553,40593,294,5326,0,0,0,0,0,0,0,19096,13770,3338,0,2941,1448
N06000003,N92000002,Belfast South,Northern Ireland,Northern Ireland,Northern Ireland,Borough,08/05/15 03:49,SDLP hold,SDLP,DUP,64927,38957,183,906,582,0,0,1900,2238,0,0,8654,5402,9560,3549,6711,361
N06000004,N92000002,Belfast West,Northern Ireland,Northern Ireland,Northern Ireland,Borough,08/05/15 03:04,SF hold,SF,PBPA,62697,35329,281,12365,34,0,0,765,0,0,0,2773,19163,3475,1088,636,7395
E14000553,E12000007,Bermondsey and Old Southwark,London,London,England,Borough,08/05/15 04:11,Lab gain from LD,Lab,LD,83298,51424,206,4489,6051,22146,17657,3254,2023,0,0,0,0,0,0,0,293
S14000008,S92000003,"Berwickshire, Roxburgh and Selkirk",Scotland,Scotland,Scotland,County,08/05/15 07:22,SNP gain from LD,SNP,Con,74214,55038,56,328,19817,2700,10294,1316,631,20145,0,0,0,0,0,0,135
E14000554,E12000001,Berwick-Upon-Tweed,Northumberland,North East,England,County,08/05/15 12:59,Con gain from LD,Con,LD,56969,40423,78,4914,16603,6042,11689,4513,1488,0,0,0,0,0,0,0,88
E14000555,E12000007,Bethnal Green and Bow,London,London,England,Borough,08/05/15 05:38,Lab hold,Lab,Con,82727,52924,263,24317,8070,32387,2395,3219,4906,0,0,0,0,0,0,0,1947
E14000556,E12000003,Beverley and Holderness,Humberside,Yorkshire and The Humber,England,County,08/05/15 14:12,Con hold,Con,Lab,80805,52677,159,12203,25363,13160,2900,8794,1802,0,0,0,0,0,0,0,658
E14000557,E12000008,Bexhill and Battle,East Sussex,South East,England,County,08/05/15 07:39,Con hold,Con,UKIP,78796,55218,300,20075,30245,7797,4199,10170,2807,0,0,0,0,0,0,0,0
E14000558,E12000007,Bexleyheath and Crayford,London,London,England,Borough,08/05/15 03:47,Con hold,Con,Lab,64828,43685,110,9192,20643,11451,1308,9182,950,0,0,0,0,0,0,0,151
E14000559,E12000002,Birkenhead,Merseyside,North West,England,Borough,08/05/15 13:04,Lab hold,Lab,Con,62410,39144,125,20652,5816,26468,1396,3838,1626,0,0,0,0,0,0,0,0
E14000560,E12000005,"Birmingham, Edgbaston",West Midlands,West Midlands,England,Borough,08/05/15 05:58,Lab hold,Lab,Con,65591,41293,156,2706,15812,18518,1184,4154,1371,0,0,0,0,0,0,0,254
E14000561,E12000005,"Birmingham, Erdington",West Midlands,West Midlands,England,Borough,08/05/15 04:49,Lab hold,Lab,Con,65128,34684,109,5129,10695,15824,965,6040,948,0,0,0,0,0,0,0,212
E14000562,E12000005,"Birmingham, Hall Green",West Midlands,West Midlands,England,Borough,08/05/15 06:03,Lab hold,Lab,Con,76330,47046,277,19818,8329,28147,5459,2131,2200,0,0,0,0,0,0,0,780
E14000563,E12000005,"Birmingham, Hodge Hill",West Midlands,West Midlands,England,Borough,08/05/15 05:16,Lab hold,Lab,Con,75302,41039,267,23362,4707,28069,2624,4651,835,0,0,0,0,0,0,0,153
E14000564,E12000005,"Birmingham, Ladywood",West Midlands,West Midlands,England,Borough,08/05/15 05:48,Lab hold,Lab,Con,68128,35916,253,21868,4576,26444,1374,1805,1501,0,0,0,0,0,0,0,216
E14000565,E12000005,"Birmingham, Northfield",West Midlands,West Midlands,England,Borough,08/05/15 04:36,Lab hold,Lab,Con,71428,42461,98,2509,15164,17673,1349,7106,1169,0,0,0,0,0,0,0,0
E14000566,E12000005,"Birmingham, Perry Barr",West Midlands,West Midlands,England,Borough,08/05/15 06:12,Lab hold,Lab,Con,69943,41260,272,14828,8869,23697,2001,5032,1330,0,0,0,0,0,0,0,331
E14000567,E12000005,"Birmingham, Selly Oak",West Midlands,West Midlands,England,Borough,08/05/15 05:24,Lab hold,Lab,Con,75092,45294,175,8447,13137,21584,2517,5755,2301,0,0,0,0,0,0,0,0
E14000568,E12000005,"Birmingham, Yardley",West Midlands,West Midlands,England,Borough,08/05/15 05:33,Lab gain from LD,Lab,LD,72146,41151,162,6595,5760,17129,10534,6637,698,0,0,0,0,0,0,0,393
E14000569,E12000001,Bishop Auckland,Durham,North East,England,County,08/05/15 03:46,Lab hold,Lab,Con,66070,39389,68,3508,12799,16307,1723,7015,1545,0,0,0,0,0,0,0,0
E14000570,E12000002,Blackburn,Lancashire,North West,England,Borough,08/05/15 03:14,Lab hold,Lab,Con,73260,43999,325,12760,12002,24762,955,6280,0,0,0,0,0,0,0,0,0
E14000571,E12000002,Blackley and Broughton,Greater Manchester,North West,England,Borough,08/05/15 04:35,Lab hold,Lab,UKIP,71913,37112,194,16874,5581,22982,874,6108,1567,0,0,0,0,0,0,0,0
E14000572,E12000002,Blackpool North and Cleveleys,Lancashire,North West,England,Borough,08/05/15 05:39,Con hold,Con,Lab,62468,39393,207,3340,17508,14168,948,5823,889,0,0,0,0,0,0,0,57
E14000573,E12000002,Blackpool South,Lancashire,North West,England,Borough,08/05/15 05:05,Lab hold,Lab,Con,57411,32436,192,2585,10963,13548,743,5613,841,0,0,0,0,0,0,0,728
W07000072,W92000004,Blaenau Gwent,Gwent and Mid Glamorgan,Wales,Wales,County,08/05/15 02:16,Lab hold,Lab,UKIP,51335,31683,74,12703,3419,18380,620,5677,738,0,2849,0,0,0,0,0,0
E14000574,E12000001,Blaydon,Tyne and Wear,North East,England,Borough,08/05/15 04:42,Lab hold,Lab,UKIP,67901,44936,96,14227,7838,22090,5497,7863,1648,0,0,0,0,0,0,0,0
E14000575,E12000001,Blyth Valley,Northumberland,North East,England,Borough,08/05/15 13:00,Lab hold,Lab,UKIP,61247,38461,41,9229,8346,17813,2265,8584,1453,0,0,0,0,0,0,0,0
E14000576,E12000008,Bognor Regis and Littlehampton,West Sussex,South East,England,County,08/05/15 07:14,Con hold,Con,UKIP,72995,47116,224,13944,24185,6508,4240,10241,1942,0,0,0,0,0,0,0,0
E14000577,E12000004,Bolsover,Derbyshire,East Midlands,England,County,08/05/15 07:10,Lab hold,Lab,Con,71979,43998,193,11778,10764,22542,1464,9228,0,0,0,0,0,0,0,0,0
E14000578,E12000002,Bolton North East,Greater Manchester,North West,England,Borough,08/05/15 05:30,Lab hold,Lab,Con,67895,43161,150,4377,14164,18541,1236,8117,1103,0,0,0,0,0,0,0,0
E14000579,E12000002,Bolton South East,Greater Manchester,North West,England,Borough,08/05/15 04:30,Lab hold,Lab,UKIP,69687,40743,134,10928,8289,20555,1072,9627,1200,0,0,0,0,0,0,0,0
E14000580,E12000002,Bolton West,Greater Manchester,North West,England,County,08/05/15 05:23,Con gain from Lab,Con,Lab,72719,48592,197,801,19744,18943,1947,7428,0,0,0,0,0,0,0,0,530
E14000581,E12000002,Bootle,Merseyside,North West,England,Borough,08/05/15 03:36,Lab hold,Lab,UKIP,70145,45152,148,28704,3639,33619,978,4915,1501,0,0,0,0,0,0,0,500
E14000582,E12000004,Boston and Skegness,Lincolnshire,East Midlands,England,County,08/05/15 06:25,Con hold,Con,UKIP,67064,43339,179,4336,18981,7142,1015,14645,800,0,0,0,0,0,0,0,756
E14000583,E12000004,Bosworth,Leicestershire,East Midlands,England,County,08/05/15 05:40,Con hold,Con,LD,79738,53582,206,10988,22939,9354,11951,9338,0,0,0,0,0,0,0,0,0
E14000584,E12000009,Bournemouth East,Dorset,South West,England,Borough,08/05/15 06:22,Con hold,Con,Lab,72275,44827,191,14612,22060,7448,3752,7401,3263,0,0,0,0,0,0,0,903
E14000585,E12000009,Bournemouth West,Dorset,South West,England,Borough,08/05/15 05:57,Con hold,Con,UKIP,72082,41773,171,12410,20155,7386,3281,7745,3107,0,0,0,0,0,0,0,99
E14000586,E12000008,Bracknell,Berkshire,South East,England,County,08/05/15 05:44,Con hold,Con,Lab,81271,53086,215,20650,29606,8956,3983,8339,2202,0,0,0,0,0,0,0,0
E14000587,E12000003,Bradford East,West Yorkshire,Yorkshire and The Humber,England,Borough,08/05/15 05:43,Lab gain from LD,Lab,LD,66121,41406,207,7084,4682,19312,12228,4103,871,0,0,0,0,0,0,0,210
E14000588,E12000003,Bradford South,West Yorkshire,Yorkshire and The Humber,England,Borough,08/05/15 06:23,Lab hold,Lab,Con,63674,37600,106,6450,9878,16328,1094,9057,1243,0,0,0,0,0,0,0,0
E14000589,E12000003,Bradford West,West Yorkshire,Yorkshire and The Humber,England,Borough,08/05/15 06:07,Lab hold,Lab,Respect,63372,40290,237,11420,6160,19977,1173,3140,1085,0,0,0,0,0,0,0,8755
E14000590,E12000006,Braintree,Essex,East,England,County,08/05/15 05:45,Con hold,Con,UKIP,73557,50283,201,17610,27071,9296,2488,9461,1564,0,0,0,0,0,0,0,403
W07000068,W92000004,Brecon and Radnorshire,Powys,Wales,Wales,County,08/05/15 02:53,Con gain from LD,Con,LD,54441,40074,71,5102,16453,5904,11351,3338,1261,0,1767,0,0,0,0,0,0
E14000591,E12000007,Brent Central,London,London,England,Borough,08/05/15 03:39,Lab gain from LD,Lab,Con,77038,47032,260,19649,9567,29216,3937,1850,1912,0,0,0,0,0,0,0,550
E14000593,E12000007,Brentford and Isleworth,London,London,England,Borough,08/05/15 04:57,Lab gain from Con,Lab,Con,84602,57355,147,465,24631,25096,2305,3203,2120,0,0,0,0,0,0,0,0
E14000592,E12000007,Brent North,London,London,England,Borough,08/05/15 04:36,Lab hold,Lab,Con,82196,52235,291,10834,17517,28351,2607,2024,1539,0,0,0,0,0,0,0,197
E14000594,E12000006,Brentwood and Ongar,Essex,East,England,County,08/05/15 04:30,Con hold,Con,UKIP,71918,51897,151,21810,30534,6492,4577,8724,1397,0,0,0,0,0,0,0,173
W07000073,W92000004,Bridgend,Gwent and Mid Glamorgan,Wales,Wales,County,08/05/15 09:21,Lab hold,Lab,Con,59998,39453,63,1927,12697,14624,1648,5911,736,0,2784,0,0,0,0,0,1053
E14000595,E12000009,Bridgwater and West Somerset,Somerset,South West,England,County,08/05/15 08:33,Con hold,Con,UKIP,80491,54447,203,14583,25020,9589,6765,10437,2636,0,0,0,0,0,0,0,0
E14000596,E12000003,Brigg and Goole,Humberside,Yorkshire and The Humber,England,County,08/05/15 05:26,Con hold,Con,Lab,68488,43270,168,11176,22946,11770,764,6694,915,0,0,0,0,0,0,0,181
E14000597,E12000008,"Brighton, Kemptown",East Sussex,South East,England,Borough,08/05/15 06:46,Con hold,Con,Lab,67858,45306,177,690,18428,17738,1365,4446,3187,0,0,0,0,0,0,0,142
E14000598,E12000008,"Brighton, Pavilion",East Sussex,South East,England,Borough,08/05/15 07:36,Green hold,Green,Lab,76557,54676,186,7967,12448,14904,1525,2724,22871,0,0,0,0,0,0,0,204
E14000599,E12000009,Bristol East,Avon,South West,England,Borough,08/05/15 05:50,Lab hold,Lab,Con,71193,46213,162,3980,14168,18148,2689,7152,3827,0,0,0,0,0,0,0,229
E14000600,E12000009,Bristol North West,Avon,South West,England,Borough,08/05/15 04:32,Con hold,Con,Lab,74743,51805,121,4944,22767,17823,3214,4889,2952,0,0,0,0,0,0,0,160
E14000601,E12000009,Bristol South,Avon,South West,England,Borough,08/05/15 06:11,Lab hold,Lab,Con,81496,50842,164,7128,12377,19505,4416,8381,5861,0,0,0,0,0,0,0,302
E14000602,E12000009,Bristol West,Avon,South West,England,Borough,08/05/15 06:48,Lab gain from LD,Lab,Green,91236,64218,198,5673,9752,22900,12103,1940,17227,0,0,0,0,0,0,0,296
E14000603,E12000006,Broadland,Norfolk,East,England,County,08/05/15 09:30,Con hold,Con,Lab,73552,53089,182,16838,26808,9970,5178,8881,2252,0,0,0,0,0,0,0,0
E14000604,E12000007,Bromley and Chislehurst,London,London,England,Borough,08/05/15 03:10,Con hold,Con,Lab,65477,44066,131,13564,23343,9779,2836,6285,1823,0,0,0,0,0,0,0,0
E14000605,E12000005,Bromsgrove,Hereford and Worcester,West Midlands,England,County,08/05/15 07:07,Con hold,Con,Lab,73337,52245,173,16529,28133,11604,2616,8163,1729,0,0,0,0,0,0,0,0
E14000606,E12000006,Broxbourne,Hertfordshire,East,England,Borough,08/05/15 02:28,Con hold,Con,UKIP,72944,46024,125,16723,25797,8470,1467,9074,1216,0,0,0,0,0,0,0,0
E14000607,E12000004,Broxtowe,Nottinghamshire,East Midlands,England,County,08/05/15 05:11,Con hold,Con,Lab,71764,53440,200,4287,24163,19876,2120,5674,1544,0,0,0,0,0,0,0,63
E14000608,E12000008,Buckingham,Buckinghamshire,South East,England,County,08/05/15 06:19,Spk hold,Spk,UKIP,77425,53692,1289,22942,0,0,0,11675,7400,0,0,0,0,0,0,0,34617
E14000609,E12000002,Burnley,Lancashire,North West,England,Borough,08/05/15 02:54,Lab gain from LD,Lab,LD,64477,39746,150,3244,5374,14951,11707,6864,850,0,0,0,0,0,0,0,0
E14000610,E12000005,Burton,Staffordshire,West Midlands,England,County,08/05/15 05:45,Con hold,Con,Lab,75248,48974,176,10892,24376,13484,1232,8658,1224,0,0,0,0,0,0,0,0
E14000611,E12000002,Bury North,Greater Manchester,North West,England,Borough,08/05/15 05:17,Con hold,Con,Lab,67580,45230,186,378,18970,18592,932,5595,1141,0,0,0,0,0,0,0,0
E14000612,E12000002,Bury South,Greater Manchester,North West,England,Borough,08/05/15 04:34,Lab hold,Lab,Con,73883,47215,181,4922,16350,21272,1690,6299,1434,0,0,0,0,0,0,0,170
E14000613,E12000006,Bury St Edmunds,Suffolk,East,England,County,08/05/15 07:10,Con hold,Con,Lab,85982,59341,237,21301,31815,10514,3581,8739,4692,0,0,0,0,0,0,0,0
W07000076,W92000004,Caerphilly,Gwent and Mid Glamorgan,Wales,Wales,County,08/05/15 02:59,Lab hold,Lab,UKIP,63603,40283,81,10073,6683,17864,935,7791,937,0,5895,0,0,0,0,0,178
S14000009,S92000003,"Caithness, Sutherland and Easter Ross",Scotland,Scotland,Scotland,County,08/05/15 04:44,SNP gain from LD,SNP,LD,47558,34186,45,3844,2326,3061,11987,981,0,15831,0,0,0,0,0,0,0
E14000614,E12000003,Calder Valley,West Yorkshire,Yorkshire and The Humber,England,County,08/05/15 08:01,Con hold,Con,Lab,77754,53541,220,4427,23354,18927,2666,5950,2090,0,0,0,0,0,0,0,554
E14000615,E12000007,Camberwell and Peckham,London,London,England,Borough,08/05/15 04:46,Lab hold,Lab,Con,82746,51561,218,25824,6790,32614,2580,2413,5187,0,0,0,0,0,0,0,1977
E14000616,E12000009,Camborne and Redruth,Cornwall,South West,England,County,08/05/15 05:02,Con hold,Con,Lab,66944,45868,84,7004,18452,11448,5687,6776,2608,0,0,0,0,0,0,0,897
E14000617,E12000006,Cambridge,Cambridgeshire,East,England,Borough,08/05/15 06:00,Lab gain from LD,Lab,LD,83384,51774,171,599,8117,18646,18047,2668,4109,0,0,0,0,0,0,0,187
E14000618,E12000005,Cannock Chase,Staffordshire,West Midlands,England,County,08/05/15 05:12,Con hold,Con,Lab,74532,47099,169,4923,20811,15888,1270,8224,906,0,0,0,0,0,0,0,0
E14000619,E12000008,Canterbury,Kent,South East,England,County,08/05/15 04:40,Con hold,Con,Lab,81341,53465,182,9798,22918,13120,6227,7289,3746,0,0,0,0,0,0,0,165
W07000050,W92000004,Cardiff Central,South Glamorgan,Wales,Wales,Borough,08/05/15 03:29,Lab gain from LD,Lab,LD,57456,38646,117,4981,5674,15462,10481,2499,2461,0,1925,0,0,0,0,0,144
W07000051,W92000004,Cardiff North,South Glamorgan,Wales,Wales,Borough,08/05/15 04:10,Con hold,Con,Lab,67196,51151,80,2137,21709,19572,1953,3953,1254,0,2301,0,0,0,0,0,409
W07000080,W92000004,Cardiff South and Penarth,South Glamorgan,Wales,Wales,Borough,08/05/15 03:45,Lab hold,Lab,Con,76006,46667,121,7453,12513,19966,2318,6423,1746,0,3443,0,0,0,0,0,258
W07000079,W92000004,Cardiff West,South Glamorgan,Wales,Wales,Borough,08/05/15 06:07,Lab hold,Lab,Con,66762,43792,113,6789,11014,17803,2069,4923,1704,0,6096,0,0,0,0,0,183
E14000620,E12000002,Carlisle,Cumbria,North West,England,County,08/05/15 03:46,Con hold,Con,Lab,65827,42587,93,2774,18873,16099,1087,5277,1125,0,0,0,0,0,0,0,126
W07000067,W92000004,Carmarthen East and Dinefwr,Dyfed,Wales,Wales,County,08/05/15 02:46,PC hold,PC,Lab,55750,39399,61,5599,8336,9541,928,4363,1091,0,15140,0,0,0,0,0,0
W07000066,W92000004,Carmarthen West and South Pembrokeshire,Dyfed,Wales,Wales,County,08/05/15 03:56,Con hold,Con,Lab,57755,40350,69,6054,17626,11572,963,4698,1290,0,4201,0,0,0,0,0,0
E14000621,E12000007,Carshalton and Wallington,London,London,England,Borough,08/05/15 04:37,LD hold,LD,Con,69981,47613,131,1510,15093,7150,16603,7049,1492,0,0,0,0,0,0,0,226
E14000622,E12000006,Castle Point,Essex,East,England,Borough,08/05/15 09:17,Con hold,Con,UKIP,68170,45450,117,8934,23112,6283,801,14178,1076,0,0,0,0,0,0,0,0
S14000010,S92000003,Central Ayrshire,Scotland,Scotland,Scotland,County,08/05/15 03:52,SNP gain from Lab,SNP,Lab,70021,50774,68,13589,8803,13410,917,0,645,26999,0,0,0,0,0,0,0
E14000623,E12000009,Central Devon,Devon,South West,England,County,08/05/15 11:27,Con hold,Con,UKIP,72737,54448,192,21265,28436,6985,6643,7171,4866,0,0,0,0,0,0,0,347
E14000624,E12000006,Central Suffolk and North Ipswich,Suffolk,East,England,County,08/05/15 06:48,Con hold,Con,Lab,76666,54089,145,20144,30317,10173,3314,7459,2664,0,0,0,0,0,0,0,162
W07000064,W92000004,Ceredigion,Dyfed,Wales,Wales,County,08/05/15 02:11,LD hold,LD,PC,54242,37416,96,3067,4123,3615,13414,3829,2088,0,10347,0,0,0,0,0,0
E14000625,E12000004,Charnwood,Leicestershire,East Midlands,England,County,08/05/15 06:31,Con hold,Con,Lab,77269,52261,177,16931,28384,11453,3605,8330,0,0,0,0,0,0,0,0,489
E14000626,E12000008,Chatham and Aylesford,Kent,South East,England,County,08/05/15 08:27,Con hold,Con,Lab,66355,43073,166,11455,21614,10159,1360,8581,1101,0,0,0,0,0,0,0,258
E14000627,E12000002,Cheadle,Greater Manchester,North West,England,Borough,08/05/15 07:09,Con gain from LD,Con,LD,73239,53095,169,6453,22889,8673,16436,4423,0,0,0,0,0,0,0,0,674
E14000628,E12000006,Chelmsford,Essex,East,England,Borough,08/05/15 03:12,Con hold,Con,Lab,78580,53817,190,18250,27732,9482,6394,7652,1892,0,0,0,0,0,0,0,665
E14000629,E12000007,Chelsea and Fulham,London,London,England,Borough,08/05/15 03:35,Con hold,Con,Lab,63478,40226,133,16022,25322,9300,2091,2039,1474,0,0,0,0,0,0,0,0
E14000630,E12000009,Cheltenham,Gloucestershire,South West,England,Borough,08/05/15 04:46,Con gain from LD,Con,LD,77287,53735,104,6516,24790,3902,18274,3808,2689,0,0,0,0,0,0,0,272
E14000631,E12000008,Chesham and Amersham,Buckinghamshire,South East,England,County,08/05/15 06:29,Con hold,Con,UKIP,72547,52730,249,23920,31138,6712,4761,7218,2901,0,0,0,0,0,0,0,0
E14000632,E12000004,Chesterfield,Derbyshire,East Midlands,England,Borough,08/05/15 04:46,Lab hold,Lab,Con,71625,45567,179,13598,8231,21829,6301,7523,1352,0,0,0,0,0,0,0,331
E14000633,E12000008,Chichester,West Sussex,South East,England,County,08/05/15 06:43,Con hold,Con,UKIP,83396,57139,198,24413,32953,6933,4865,8540,3742,0,0,0,0,0,0,0,106
E14000634,E12000007,Chingford and Woodford Green,London,London,England,County,08/05/15 06:20,Con hold,Con,Lab,66680,43804,129,8386,20999,12613,2400,5644,1854,0,0,0,0,0,0,0,294
E14000635,E12000009,Chippenham,Wiltshire,South West,England,County,08/05/15 03:43,Con gain from LD,Con,LD,74218,55407,100,10076,26354,4561,16278,5884,2330,0,0,0,0,0,0,0,0
E14000636,E12000007,Chipping Barnet,London,London,England,Borough,08/05/15 04:56,Con hold,Con,Lab,77807,53013,139,7656,25759,18103,2381,4151,2501,0,0,0,0,0,0,0,118
E14000637,E12000002,Chorley,Lancashire,North West,England,County,08/05/15 05:20,Lab hold,Lab,Con,74679,51712,142,4530,18792,23322,1354,6995,1111,0,0,0,0,0,0,0,138
E14000638,E12000009,Christchurch,Dorset,South West,England,County,08/05/15 05:44,Con hold,Con,UKIP,69303,49707,233,18224,28887,4745,3263,10663,2149,0,0,0,0,0,0,0,0
