date,x
23/06/16 07:10,1.323
23/06/16 07:20,1.32
23/06/16 07:30,1.314
23/06/16 07:40,1.315
23/06/16 07:50,1.322
23/06/16 08:00,1.318
23/06/16 08:10,1.323
23/06/16 08:20,1.331
23/06/16 08:30,1.328
23/06/16 08:40,1.327
23/06/16 08:50,1.33
23/06/16 09:00,1.329
23/06/16 09:10,1.332
23/06/16 09:20,1.342
23/06/16 09:30,1.358
23/06/16 09:40,1.35
23/06/16 09:50,1.348
23/06/16 10:00,1.355
23/06/16 10:10,1.364
23/06/16 10:20,1.377
23/06/16 10:30,1.391
23/06/16 10:40,1.372
23/06/16 10:50,1.368
23/06/16 11:00,1.366
23/06/16 11:10,1.367
23/06/16 11:20,1.368
23/06/16 11:30,1.368
23/06/16 11:40,1.364
23/06/16 11:50,1.368
23/06/16 12:00,1.368
23/06/16 12:10,1.381
23/06/16 12:20,1.387
23/06/16 12:30,1.379
23/06/16 12:40,1.381
23/06/16 12:50,1.389
23/06/16 13:00,1.391
23/06/16 13:10,1.38
23/06/16 13:20,1.37
23/06/16 13:30,1.374
23/06/16 13:40,1.368
23/06/16 13:50,1.36
23/06/16 14:00,1.361
23/06/16 14:10,1.361
23/06/16 14:20,1.359
23/06/16 14:30,1.36
23/06/16 14:40,1.35
23/06/16 14:50,1.356
23/06/16 15:00,1.365
23/06/16 15:10,1.367
23/06/16 15:20,1.37
23/06/16 15:30,1.38
23/06/16 15:40,1.373
23/06/16 15:50,1.372
23/06/16 16:00,1.376
23/06/16 16:10,1.376
23/06/16 16:20,1.378
23/06/16 16:30,1.378
23/06/16 16:40,1.378
23/06/16 16:50,1.379
23/06/16 17:00,1.385
24/06/16 07:10,1.033
24/06/16 07:20,1.046
24/06/16 07:30,1.063
24/06/16 07:40,1.076
24/06/16 07:50,1.095
24/06/16 08:00,1.109
24/06/16 08:10,1.098
24/06/16 08:20,1.102
24/06/16 08:30,1.102
24/06/16 08:40,1.091
24/06/16 08:50,1.102
24/06/16 09:00,1.088
24/06/16 09:10,1.087
24/06/16 09:20,1.083
24/06/16 09:30,1.103
24/06/16 09:40,1.097
24/06/16 09:50,1.091
24/06/16 10:00,1.085
24/06/16 10:10,1.091
24/06/16 10:20,1.082
24/06/16 10:30,1.082
24/06/16 10:40,1.059
24/06/16 10:50,1.045
24/06/16 11:00,1.044
24/06/16 11:10,1.05
24/06/16 11:20,1.051
24/06/16 11:30,1.068
24/06/16 11:40,1.075
24/06/16 11:50,1.078
24/06/16 12:00,1.066
24/06/16 12:10,1.056
24/06/16 12:20,1.056
24/06/16 12:30,1.072
24/06/16 12:40,1.081
24/06/16 12:50,1.072
24/06/16 13:00,1.081
24/06/16 13:10,1.087
24/06/16 13:20,1.087
24/06/16 13:30,1.086
24/06/16 13:40,1.081
24/06/16 13:50,1.084
24/06/16 14:00,1.094
24/06/16 14:10,1.111
24/06/16 14:20,1.113
24/06/16 14:30,1.108
24/06/16 14:40,1.107
24/06/16 14:50,1.103
24/06/16 15:00,1.099
24/06/16 15:10,1.096
24/06/16 15:20,1.096
24/06/16 15:30,1.092
24/06/16 15:40,1.094
24/06/16 15:50,1.089
24/06/16 16:00,1.088
24/06/16 16:10,1.088
24/06/16 16:20,1.077
24/06/16 16:30,1.07
24/06/16 16:40,1.074
24/06/16 16:50,1.076
24/06/16 17:00,1.086
27/06/16 07:10,1.065
27/06/16 07:20,1.061
27/06/16 07:30,1.061
27/06/16 07:40,1.045
27/06/16 07:50,1.034
27/06/16 08:00,1.024
27/06/16 08:10,1.027
27/06/16 08:20,1.009
27/06/16 08:30,0.999
27/06/16 08:40,0.992
27/06/16 08:50,0.981
27/06/16 09:00,0.947
27/06/16 09:10,0.938
27/06/16 09:20,0.958
27/06/16 09:30,0.952
27/06/16 09:40,0.961
27/06/16 09:50,0.964
27/06/16 10:00,0.96
27/06/16 10:10,0.957
27/06/16 10:20,0.966
27/06/16 10:30,0.962
27/06/16 10:40,0.958
27/06/16 10:50,0.961
27/06/16 11:00,0.955
27/06/16 11:10,0.945
27/06/16 11:20,0.951
27/06/16 11:30,0.962
27/06/16 11:40,0.959
27/06/16 11:50,0.947
27/06/16 12:00,0.95
27/06/16 12:10,0.941
27/06/16 12:20,0.936
27/06/16 12:30,0.943
27/06/16 12:40,0.936
27/06/16 12:50,0.945
27/06/16 13:00,0.943
27/06/16 13:10,0.947
27/06/16 13:20,0.949
27/06/16 13:30,0.954
27/06/16 13:40,0.95
27/06/16 13:50,0.942
27/06/16 14:00,0.947
27/06/16 14:10,0.942
27/06/16 14:20,0.937
27/06/16 14:30,0.943
27/06/16 14:40,0.947
27/06/16 14:50,0.944
27/06/16 15:00,0.936
27/06/16 15:10,0.945
27/06/16 15:20,0.951
27/06/16 15:30,0.948
27/06/16 15:40,0.948
27/06/16 15:50,0.944
27/06/16 16:00,0.937
27/06/16 16:10,0.93
27/06/16 16:20,0.936
27/06/16 16:30,0.938
27/06/16 16:40,0.938
27/06/16 16:50,0.936
27/06/16 17:00,0.932
