date,one
08/11/16 00:00,2127
08/11/16 00:05,2127
08/11/16 00:10,2127
08/11/16 00:15,2126.75
08/11/16 00:20,2127
08/11/16 00:25,2126.5
08/11/16 00:30,2126.25
08/11/16 00:35,2126.25
08/11/16 00:40,2126.75
08/11/16 00:45,2126.5
08/11/16 00:50,2126.75
08/11/16 00:55,2127
08/11/16 01:00,2126.75
08/11/16 01:05,2126.25
08/11/16 01:10,2126.25
08/11/16 01:15,2126.5
08/11/16 01:20,2125.5
08/11/16 01:25,2125.25
08/11/16 01:30,2124.25
08/11/16 01:35,2123.75
08/11/16 01:40,2121.75
08/11/16 01:45,2122.25
08/11/16 01:50,2123.25
08/11/16 01:55,2123.25
08/11/16 02:00,2123.25
08/11/16 02:05,2122
08/11/16 02:10,2122.5
08/11/16 02:15,2122.75
08/11/16 02:20,2123.5
08/11/16 02:25,2124
08/11/16 02:30,2124
08/11/16 02:35,2124.25
08/11/16 02:40,2123.75
08/11/16 02:45,2123.75
08/11/16 02:50,2123.5
08/11/16 02:55,2124.25
08/11/16 03:00,2124.5
08/11/16 03:05,2124.25
08/11/16 03:10,2123.75
08/11/16 03:15,2124.25
08/11/16 03:20,2125.75
08/11/16 03:25,2125.25
08/11/16 03:30,2125.25
08/11/16 03:35,2125
08/11/16 03:40,2125
08/11/16 03:45,2125.5
08/11/16 03:50,2126
08/11/16 03:55,2126
08/11/16 04:00,2126
08/11/16 04:05,2126
08/11/16 04:10,2125
08/11/16 04:15,2125.5
08/11/16 04:20,2125.75
08/11/16 04:25,2125.5
08/11/16 04:30,2125.75
08/11/16 04:35,2125.75
08/11/16 04:40,2125.75
08/11/16 04:45,2126
08/11/16 04:50,2126.25
08/11/16 04:55,2126.25
08/11/16 05:00,2126.25
08/11/16 05:05,2128.5
08/11/16 05:10,2128
08/11/16 05:15,2127.5
08/11/16 05:20,2128.25
08/11/16 05:25,2128.25
08/11/16 05:30,2127
08/11/16 05:35,2127.25
08/11/16 05:40,2127.25
08/11/16 05:45,2126.25
08/11/16 05:50,2126.25
08/11/16 05:55,2127
08/11/16 06:00,2127.5
08/11/16 06:05,2127.75
08/11/16 06:10,2128
08/11/16 06:15,2128.25
08/11/16 06:20,2127.5
08/11/16 06:25,2128
08/11/16 06:30,2127.75
08/11/16 06:35,2127.75
08/11/16 06:40,2127
08/11/16 06:45,2127.5
08/11/16 06:50,2127.75
08/11/16 06:55,2127.25
08/11/16 07:00,2126.25
08/11/16 07:05,2126
08/11/16 07:10,2126
08/11/16 07:15,2126.25
08/11/16 07:20,2126.5
08/11/16 07:25,2126.75
08/11/16 07:30,2126.25
08/11/16 07:35,2126
