date,one
08/11/16 07:40,2126
08/11/16 07:45,2126.25
08/11/16 07:50,2126.75
08/11/16 07:55,2127.25
08/11/16 08:00,2127.5
08/11/16 08:05,2127.25
08/11/16 08:10,2127.75
08/11/16 08:15,2128.75
08/11/16 08:20,2128
08/11/16 08:25,2128.75
08/11/16 08:30,2128.5
08/11/16 08:35,2128
08/11/16 08:40,2128.5
08/11/16 08:45,2129
08/11/16 08:50,2129.5
08/11/16 08:55,2128.75
08/11/16 09:00,2128.75
08/11/16 09:05,2128.5
08/11/16 09:10,2128.75
08/11/16 09:15,2128.75
08/11/16 09:20,2128.25
08/11/16 09:25,2127.75
08/11/16 09:30,2128.5
08/11/16 09:35,2129
08/11/16 09:40,2128
08/11/16 09:45,2128
08/11/16 09:50,2127.75
08/11/16 09:55,2128.25
08/11/16 10:00,2127.5
08/11/16 10:05,2127.25
08/11/16 10:10,2127.25
08/11/16 10:15,2125.75
08/11/16 10:20,2125.75
08/11/16 10:25,2125.5
08/11/16 10:30,2125
08/11/16 10:35,2125.25
08/11/16 10:40,2125.5
08/11/16 10:45,2125.75
08/11/16 10:50,2126
08/11/16 10:55,2126.5
08/11/16 11:00,2125
08/11/16 11:05,2125
08/11/16 11:10,2125.75
08/11/16 11:15,2125.75
08/11/16 11:20,2125.5
08/11/16 11:25,2125
08/11/16 11:30,2125
08/11/16 11:35,2125
08/11/16 11:40,2124.75
08/11/16 11:45,2125
08/11/16 11:50,2124.25
08/11/16 11:55,2124.75
08/11/16 12:00,2124.75
08/11/16 12:05,2125
08/11/16 12:10,2125.75
08/11/16 12:15,2126
08/11/16 12:20,2125.75
08/11/16 12:25,2126.25
08/11/16 12:30,2125.5
08/11/16 12:35,2126
08/11/16 12:40,2126
08/11/16 12:45,2126.75
08/11/16 12:50,2126.25
08/11/16 12:55,2126.25
08/11/16 13:00,2126
08/11/16 13:05,2125.25
08/11/16 13:10,2125.25
08/11/16 13:15,2126
08/11/16 13:20,2125.25
08/11/16 13:25,2124.75
08/11/16 13:30,2125.25
08/11/16 13:35,2125
08/11/16 13:40,2124.75
08/11/16 13:45,2124.5
08/11/16 13:50,2124.25
08/11/16 13:55,2124
08/11/16 14:00,2123.5
08/11/16 14:05,2123.75
08/11/16 14:10,2124
08/11/16 14:15,2123.25
08/11/16 14:20,2123.25
08/11/16 14:25,2122
08/11/16 14:30,2121
08/11/16 14:35,2122.25
08/11/16 14:40,2122
08/11/16 14:45,2120.75
08/11/16 14:50,2120.25
08/11/16 14:55,2120.75
08/11/16 15:00,2122
08/11/16 15:05,2120.75
08/11/16 15:10,2120.5
08/11/16 15:15,2122
08/11/16 15:20,2122.75
08/11/16 15:25,2123
08/11/16 15:30,2123.25
08/11/16 15:35,2123
08/11/16 15:40,2122.75
08/11/16 15:45,2124.75
08/11/16 15:50,2124
08/11/16 15:55,2125.25
08/11/16 16:00,2125.5
08/11/16 16:05,2129
08/11/16 16:10,2131.75
08/11/16 16:15,2132.5
08/11/16 16:20,2132.5
08/11/16 16:25,2132.25
08/11/16 16:30,2135.5
08/11/16 16:35,2134.5
08/11/16 16:40,2135
08/11/16 16:45,2135
08/11/16 16:50,2135.5
08/11/16 16:55,2137.5
08/11/16 17:00,2137.5
08/11/16 17:05,2139.25
08/11/16 17:10,2139.75
08/11/16 17:15,2140.5
08/11/16 17:20,2141.5
08/11/16 17:25,2140.75
08/11/16 17:30,2139
08/11/16 17:35,2139.5
08/11/16 17:40,2140.25
08/11/16 17:45,2141
08/11/16 17:50,2142.25
08/11/16 17:55,2142.5
08/11/16 18:00,2141.25
08/11/16 18:05,2138.75
08/11/16 18:10,2140.25
08/11/16 18:15,2138.5
08/11/16 18:20,2138.25
08/11/16 18:25,2138.75
08/11/16 18:30,2140
08/11/16 18:35,2140.25
08/11/16 18:40,2140.5
08/11/16 18:45,2140.25
08/11/16 18:50,2139.25
08/11/16 18:55,2139
08/11/16 19:00,2138.5
08/11/16 19:05,2137.5
08/11/16 19:10,2135.25
08/11/16 19:15,2135.5
08/11/16 19:20,2136
08/11/16 19:25,2136.25
08/11/16 19:30,2134.25
08/11/16 19:35,2134.25
08/11/16 19:40,2132.5
08/11/16 19:45,2133.25
08/11/16 19:50,2134.25
08/11/16 19:55,2134.25
08/11/16 20:00,2134
08/11/16 20:05,2137.75
08/11/16 20:10,2137.25
08/11/16 20:15,2136.75
08/11/16 20:20,2138
08/11/16 20:25,2138.25
08/11/16 20:30,2140
08/11/16 20:35,2140.25
08/11/16 20:40,2139.25
08/11/16 20:45,2139.25
08/11/16 20:50,2135.25
08/11/16 20:55,2135.25
08/11/16 21:00,2135.5
08/11/16 21:05,2136.75
08/11/16 21:10,2135.25
08/11/16 21:25,2135
08/11/16 21:30,2134.75
08/11/16 21:35,2134.75
08/11/16 21:40,2135.25
08/11/16 21:45,2136.5
08/11/16 21:50,2135.75
08/11/16 21:55,2135.75
08/11/16 23:00,2141
08/11/16 23:05,2143.25
08/11/16 23:10,2141.75
08/11/16 23:15,2141
08/11/16 23:20,2142.5
08/11/16 23:25,2142.5
08/11/16 23:30,2140.75
08/11/16 23:35,2140.75
08/11/16 23:40,2140.5
08/11/16 23:45,2140.75
08/11/16 23:50,2141.75
08/11/16 23:55,2142.25
09/11/16 00:00,2142
09/11/16 00:05,2139.25
09/11/16 00:10,2135.25
09/11/16 00:15,2138.5
09/11/16 00:20,2139.25
09/11/16 00:25,2141.5
09/11/16 00:30,2137.5
09/11/16 00:35,2137.25
09/11/16 00:40,2134.5
09/11/16 00:45,2138.75
09/11/16 00:50,2145.25
09/11/16 00:55,2149.75
09/11/16 01:00,2147.5
09/11/16 01:05,2151
09/11/16 01:10,2142.75
09/11/16 01:15,2144
09/11/16 01:20,2142.75
09/11/16 01:25,2140.25
09/11/16 01:30,2141
09/11/16 01:35,2138.5
09/11/16 01:40,2133.25
09/11/16 01:45,2127
09/11/16 01:50,2126.25
09/11/16 01:55,2122.5
09/11/16 02:00,2107
09/11/16 02:05,2104.5
09/11/16 02:10,2095.75
09/11/16 02:15,2095.75
09/11/16 02:20,2071.75
09/11/16 02:25,2081.5
09/11/16 02:30,2063.75
09/11/16 02:35,2060.5
09/11/16 02:40,2072.5
09/11/16 02:45,2068.75
09/11/16 02:50,2075.25
09/11/16 02:55,2075
09/11/16 03:00,2060.75
09/11/16 03:05,2051.75
09/11/16 03:10,2045.75
09/11/16 03:15,2054.75
09/11/16 03:20,2042.25
09/11/16 03:25,2036
09/11/16 03:30,2037.25
09/11/16 03:35,2050.25
09/11/16 03:40,2052.5
09/11/16 03:45,2047.75
09/11/16 03:50,2039.5
09/11/16 03:55,2039.75
09/11/16 04:00,2041
09/11/16 04:05,2039.75
09/11/16 04:10,2037.5
09/11/16 04:15,2040
09/11/16 04:20,2045
09/11/16 04:25,2053.25
09/11/16 04:30,2036.75
09/11/16 04:35,2032
09/11/16 04:40,2034.5
09/11/16 04:45,2032
09/11/16 04:50,2028.5
09/11/16 04:55,2028.5
09/11/16 05:00,2028.5
09/11/16 05:05,2028.5
09/11/16 05:10,2032.75
09/11/16 05:15,2031
09/11/16 05:20,2038
09/11/16 05:25,2044
09/11/16 05:30,2038.5
09/11/16 05:35,2035
09/11/16 05:40,2037.75
09/11/16 05:45,2038.25
09/11/16 05:50,2036.5
09/11/16 05:55,2038.75
09/11/16 06:00,2042.5
09/11/16 06:05,2039.25
09/11/16 06:10,2049.5
09/11/16 06:15,2044.75
09/11/16 06:20,2042.5
09/11/16 06:25,2045.25
09/11/16 06:30,2045.5
09/11/16 06:35,2040
09/11/16 06:40,2044.75
09/11/16 06:45,2049
09/11/16 06:50,2048.75
09/11/16 06:55,2051
09/11/16 07:00,2051
09/11/16 07:05,2066.25
09/11/16 07:10,2063.25
09/11/16 07:15,2062.5
09/11/16 07:20,2062
09/11/16 07:25,2063.5
09/11/16 07:30,2062
09/11/16 07:35,2072
09/11/16 07:40,2070.75
09/11/16 07:45,2075.75
09/11/16 07:50,2077.5
09/11/16 07:55,2082
09/11/16 08:00,2077.5
09/11/16 08:05,2082.75
09/11/16 08:10,2097.5
09/11/16 08:15,2098.5
09/11/16 08:20,2091
09/11/16 08:25,2090.25
09/11/16 08:30,2087.25
09/11/16 08:35,2085.5
09/11/16 08:40,2094.5
09/11/16 08:45,2095.25
09/11/16 08:50,2097.5
09/11/16 08:55,2098.5
09/11/16 09:00,2106.5
09/11/16 09:05,2106.5
09/11/16 09:10,2102.5
09/11/16 09:15,2097
09/11/16 09:20,2092.75
09/11/16 09:25,2093.25
09/11/16 09:30,2098.5
09/11/16 09:35,2096.75
09/11/16 09:40,2095.75
09/11/16 09:45,2102.75
09/11/16 09:50,2103
09/11/16 09:55,2097.25
09/11/16 10:00,2095.75
09/11/16 10:05,2094
09/11/16 10:10,2092
09/11/16 10:15,2091.5
09/11/16 10:20,2092.75
09/11/16 10:25,2096.5
09/11/16 10:30,2099.75
09/11/16 10:35,2096.75
09/11/16 10:40,2098.25
09/11/16 10:45,2094.5
09/11/16 10:50,2095
09/11/16 10:55,2095
09/11/16 11:00,2092
09/11/16 11:05,2088
09/11/16 11:10,2087.5
09/11/16 11:15,2085.5
09/11/16 11:20,2084
09/11/16 11:25,2083
09/11/16 11:30,2082.5
09/11/16 11:35,2087.5
09/11/16 11:40,2085.25
09/11/16 11:45,2088.25
09/11/16 11:50,2087.5
09/11/16 11:55,2090.5
09/11/16 12:00,2092.25
09/11/16 12:05,2096
09/11/16 12:10,2091.5
09/11/16 12:15,2095.25
09/11/16 12:20,2094.75
09/11/16 12:25,2097.25
09/11/16 12:30,2100.5
09/11/16 12:35,2099.5
09/11/16 12:40,2102.5
09/11/16 12:45,2106.75
09/11/16 12:50,2104
09/11/16 12:55,2110
09/11/16 13:00,2111.25
09/11/16 13:05,2108.25
09/11/16 13:10,2107.75
09/11/16 13:15,2104.25
09/11/16 13:20,2105.25
09/11/16 13:25,2102.5
09/11/16 13:30,2102.25
09/11/16 13:35,2103.25
09/11/16 13:40,2102
09/11/16 13:45,2102.25
09/11/16 13:50,2106
09/11/16 13:55,2110.5
09/11/16 14:00,2112
09/11/16 14:05,2111.5
09/11/16 14:10,2110.5
09/11/16 14:15,2111.25
09/11/16 14:20,2117.25
09/11/16 14:25,2118.75
09/11/16 14:30,2129.25
09/11/16 14:35,2124.75
09/11/16 14:40,2128.25
09/11/16 14:45,2136.75
09/11/16 14:50,2140.25
09/11/16 14:55,2139.75
09/11/16 15:00,2134.75
