date,highlight,x
20/06/16 07:10,yes,1.194
20/06/16 07:20,,1.198
20/06/16 07:30,,1.193
20/06/16 07:40,,1.191
20/06/16 07:50,,1.196
20/06/16 08:00,,1.193
20/06/16 08:10,,1.209
20/06/16 08:20,,1.214
20/06/16 08:30,,1.217
20/06/16 08:40,,1.212
20/06/16 08:50,,1.211
20/06/16 09:00,,1.217
20/06/16 09:10,,1.213
20/06/16 09:20,,1.21
20/06/16 09:30,,1.212
20/06/16 09:40,,1.212
20/06/16 09:50,,1.215
20/06/16 10:00,,1.226
20/06/16 10:10,,1.234
20/06/16 10:20,,1.234
20/06/16 10:30,,1.231
20/06/16 10:40,,1.229
20/06/16 10:50,,1.225
20/06/16 11:00,,1.226
20/06/16 11:10,,1.225
20/06/16 11:20,,1.227
20/06/16 11:30,,1.225
20/06/16 11:40,,1.219
20/06/16 11:50,,1.225
20/06/16 12:00,,1.228
20/06/16 12:10,,1.226
20/06/16 12:20,,1.235
20/06/16 12:30,,1.221
20/06/16 12:40,,1.217
20/06/16 12:50,,1.209
20/06/16 13:00,,1.213
20/06/16 13:10,,1.212
20/06/16 13:20,,1.213
20/06/16 13:30,,1.22
20/06/16 13:40,,1.227
20/06/16 13:50,,1.227
20/06/16 14:00,,1.231
20/06/16 14:10,,1.234
20/06/16 14:20,,1.236
20/06/16 14:30,,1.236
20/06/16 14:40,,1.236
20/06/16 14:50,,1.237
20/06/16 15:00,,1.243
20/06/16 15:10,,1.246
20/06/16 15:20,,1.244
20/06/16 15:30,,1.244
20/06/16 15:40,,1.245
20/06/16 15:50,,1.24
20/06/16 16:00,,1.239
20/06/16 16:10,,1.241
20/06/16 16:20,,1.24
20/06/16 16:30,,1.243
20/06/16 16:40,,1.251
20/06/16 16:50,,1.252
20/06/16 17:00,,1.257
21/06/16 07:10,,1.26
21/06/16 07:20,,1.255
21/06/16 07:30,,1.256
21/06/16 07:40,,1.253
21/06/16 07:50,,1.255
21/06/16 08:00,,1.256
21/06/16 08:10,,1.256
21/06/16 08:20,,1.254
21/06/16 08:30,,1.256
21/06/16 08:40,,1.255
21/06/16 08:50,,1.257
21/06/16 09:00,,1.254
21/06/16 09:10,,1.251
21/06/16 09:20,,1.249
21/06/16 09:30,,1.251
21/06/16 09:40,,1.251
21/06/16 09:50,,1.255
21/06/16 10:00,,1.257
21/06/16 10:10,,1.254
21/06/16 10:20,,1.258
21/06/16 10:30,,1.274
21/06/16 10:40,,1.274
21/06/16 10:50,,1.278
21/06/16 11:00,,1.277
21/06/16 11:10,,1.278
21/06/16 11:20,,1.286
21/06/16 11:30,,1.282
21/06/16 11:40,,1.29
21/06/16 11:50,,1.286
21/06/16 12:00,,1.288
21/06/16 12:10,,1.289
21/06/16 12:20,,1.284
21/06/16 12:30,,1.287
21/06/16 12:40,,1.268
21/06/16 12:50,,1.268
21/06/16 13:00,,1.27
21/06/16 13:10,,1.275
21/06/16 13:20,,1.264
21/06/16 13:30,,1.271
21/06/16 13:40,,1.262
21/06/16 13:50,,1.257
21/06/16 14:00,,1.25
21/06/16 14:10,,1.26
21/06/16 14:20,,1.27
21/06/16 14:30,,1.268
21/06/16 14:40,,1.263
21/06/16 14:50,,1.266
21/06/16 15:00,,1.276
21/06/16 15:10,,1.283
21/06/16 15:20,,1.287
21/06/16 15:30,,1.285
21/06/16 15:40,,1.286
21/06/16 15:50,,1.289
21/06/16 16:00,,1.288
21/06/16 16:10,,1.285
21/06/16 16:20,,1.286
21/06/16 16:30,,1.287
21/06/16 16:40,,1.291
21/06/16 16:50,,1.303
21/06/16 17:00,,1.298
22/06/16 07:10,,1.308
22/06/16 07:20,,1.317
22/06/16 07:30,,1.318
22/06/16 07:40,,1.313
22/06/16 07:50,,1.313
22/06/16 08:00,,1.313
22/06/16 08:10,,1.312
22/06/16 08:20,,1.311
22/06/16 08:30,,1.311
22/06/16 08:40,,1.305
22/06/16 08:50,,1.305
22/06/16 09:00,,1.3
22/06/16 09:10,,1.299
22/06/16 09:20,,1.303
22/06/16 09:30,,1.307
22/06/16 09:40,,1.306
22/06/16 09:50,,1.306
22/06/16 10:00,,1.313
22/06/16 10:10,,1.314
22/06/16 10:20,,1.308
22/06/16 10:30,,1.311
22/06/16 10:40,,1.312
22/06/16 10:50,,1.309
22/06/16 11:00,,1.314
22/06/16 11:10,,1.311
22/06/16 11:20,,1.313
22/06/16 11:30,,1.309
22/06/16 11:40,,1.306
22/06/16 11:50,,1.309
22/06/16 12:00,,1.3
22/06/16 12:10,,1.308
22/06/16 12:20,,1.306
22/06/16 12:30,,1.3
22/06/16 12:40,,1.301
22/06/16 12:50,,1.302
22/06/16 13:00,,1.303
22/06/16 13:10,,1.304
22/06/16 13:20,,1.309
22/06/16 13:30,,1.311
22/06/16 13:40,,1.303
22/06/16 13:50,,1.303
22/06/16 14:00,,1.298
22/06/16 14:10,,1.302
22/06/16 14:20,,1.312
22/06/16 14:30,,1.31
22/06/16 14:40,,1.308
22/06/16 14:50,,1.31
22/06/16 15:00,,1.312
22/06/16 15:10,,1.317
22/06/16 15:20,,1.323
22/06/16 15:30,,1.321
22/06/16 15:40,,1.31
22/06/16 15:50,,1.31
22/06/16 16:00,,1.315
22/06/16 16:10,,1.312
22/06/16 16:20,,1.314
22/06/16 16:30,,1.315
22/06/16 16:40,,1.317
22/06/16 16:50,,1.319
22/06/16 17:00,,1.324
23/06/16 07:10,,1.323
23/06/16 07:20,,1.32
23/06/16 07:30,,1.314
23/06/16 07:40,,1.315
23/06/16 07:50,,1.322
23/06/16 08:00,,1.318
23/06/16 08:10,,1.323
23/06/16 08:20,,1.331
23/06/16 08:30,,1.328
23/06/16 08:40,,1.327
23/06/16 08:50,,1.33
23/06/16 09:00,,1.329
23/06/16 09:10,,1.332
23/06/16 09:20,,1.342
23/06/16 09:30,,1.358
23/06/16 09:40,,1.35
23/06/16 09:50,,1.348
23/06/16 10:00,,1.355
23/06/16 10:10,,1.364
23/06/16 10:20,,1.377
23/06/16 10:30,,1.391
23/06/16 10:40,,1.372
23/06/16 10:50,,1.368
23/06/16 11:00,,1.366
23/06/16 11:10,,1.367
23/06/16 11:20,,1.368
23/06/16 11:30,,1.368
23/06/16 11:40,,1.364
23/06/16 11:50,,1.368
23/06/16 12:00,,1.368
23/06/16 12:10,,1.381
23/06/16 12:20,,1.387
23/06/16 12:30,,1.379
23/06/16 12:40,,1.381
23/06/16 12:50,,1.389
23/06/16 13:00,,1.391
23/06/16 13:10,,1.38
23/06/16 13:20,,1.37
23/06/16 13:30,,1.374
23/06/16 13:40,,1.368
23/06/16 13:50,,1.36
23/06/16 14:00,,1.361
23/06/16 14:10,,1.361
23/06/16 14:20,,1.359
23/06/16 14:30,,1.36
23/06/16 14:40,,1.35
23/06/16 14:50,,1.356
23/06/16 15:00,,1.365
23/06/16 15:10,,1.367
23/06/16 15:20,,1.37
23/06/16 15:30,,1.38
23/06/16 15:40,,1.373
23/06/16 15:50,,1.372
23/06/16 16:00,,1.376
23/06/16 16:10,,1.376
23/06/16 16:20,,1.378
23/06/16 16:30,,1.378
23/06/16 16:40,,1.378
23/06/16 16:50,,1.379
23/06/16 17:00,,1.385
24/06/16 07:10,,1.033
