Date,Open Price,High Price,Low Price,Close Price
24/08/15,160.95,164.53,154.561,162.8
25/08/15,162,170.625,160.5,167.67
26/08/15,168.4,170.3,165,168.66
27/08/15,173.2,174,171.18,173.3
28/08/15,172.75,172.75,169.5,171
31/08/15,170.75,170.75,168.455,170.08
01/09/15,166.95,167.159,163.457,163.98
02/09/15,164.15,165.7,162.3,162.94
03/09/15,164.01,167.65,164.01,166.217
04/09/15,164.916,164.916,160.955,161.57
07/09/15,164.3,164.3,162.58,162.92
08/09/15,163.194,168.4,162.919,167.18
09/09/15,171,172.25,169.582,169.76
10/09/15,168.5,169.27,166.28,168.25
11/09/15,167.85,169.549,167,169.549
14/09/15,169.5,169.5,166.6,167.104
15/09/15,167.75,170.05,167,169.7
16/09/15,170,170.732,168.65,170.13
17/09/15,170.75,170.773,167.62,168
18/09/15,167.8,167.8,161.75,162.58
21/09/15,146.6,146.6,126.213,133
22/09/15,133.5,133.5,101.6,108.99
23/09/15,106.8,116.8,97.5,114.6
24/09/15,115,120.195,111.21,112
25/09/15,115.2,117,105.1,107.59
