Close Price,High Price,Low Price,Open Price,Date
581.53,584.28,573.12,573.59,2012-06-19
577.51,580,573.51,579.81,2012-06-20
565.21,579.84,563.73,579.84,2012-06-21
571.48,571.48,565.82,568,2012-06-22
560.7,568.093,557.35,567.33,2012-06-25
564.68,566.6,559.48,562.76,2012-06-26
569.3,573.988,566.02,567.7,2012-06-27
564.31,566.23,557.21,565.9,2012-06-28
580.07,580.13,572.2,574.96,2012-06-29
580.47,583,576.5,581.82,2012-07-02
587.83,588.41,578,580.01,2012-07-03
595.92,600.06,588.54,588.76,2012-07-05
585.98,593.52,582.82,592.45,2012-07-06
586.01,588.6,581.25,584.95,2012-07-09
581.7,592.43,578.74,590.19,2012-07-10
571.19,577.85,564.94,576.3,2012-07-11
570.48,571.93,562.09,567.12,2012-07-12
576.52,579.148,568.55,572.15,2012-07-13
574.92,579.19,571.781,576.37,2012-07-16
576.73,580.67,568.4,578.43,2012-07-17
580.76,583.69,576.13,576.98,2012-07-18
593.06,598.48,586,586.14,2012-07-19
610.82,612.94,598.18,608.76,2012-07-20
615.51,618.35,598.25,600.48,2012-07-23
607.57,617.93,604.34,615,2012-07-24
607.99,613.38,605.37,608.32,2012-07-25
613.36,616.87,610.03,615,2012-07-26
634.96,635,617.5,618.89,2012-07-27
632.3,642.6,629.5,636.05,2012-07-30
632.97,636.5,628.22,628.26,2012-07-31
632.68,639.508,631.38,637.3,2012-08-01
628.75,638.03,623.41,625.51,2012-08-02
641.33,643.72,636.14,640,2012-08-03
642.82,649.38,639.22,639.61,2012-08-06
640.54,644.26,636.47,641.79,2012-08-07
642.23,645.87,638.5,639.05,2012-08-08
642.35,646.37,641.52,644.51,2012-08-09
642,642.24,636.13,638.59,2012-08-10
660.01,660.15,646.68,647.42,2012-08-13
668.66,672.85,659,659.25,2012-08-14
667.54,674.25,664.1,670.28,2012-08-15
672.87,674.64,667.08,667.51,2012-08-16
677.14,677.25,671.7,674.12,2012-08-17
675.54,678.87,672.66,675.5,2012-08-20
669.51,678,662.168,673.11,2012-08-21
677.18,680.6,666.698,667.38,2012-08-22
676.8,680.48,671,674.27,2012-08-23
678.63,680.45,674.08,675.6,2012-08-24
669.22,672,659.24,662.99,2012-08-27
677.25,677.62,664.74,665,2012-08-28
688.01,688.99,676.15,677.37,2012-08-29
681.68,687.39,680.18,684.24,2012-08-30
685.09,688.58,680.04,684,2012-08-31
681.04,685,673.5,684.55,2012-09-04
680.72,686.5,679.14,680,2012-09-05
699.4,699.89,684.73,685.96,2012-09-06
706.15,712.25,697.67,700,2012-09-07
700.77,712.81,698.39,709.76,2012-09-10
692.19,700.65,691,697.96,2012-09-11
690.88,694.909,680.88,689.41,2012-09-12
706.04,709,690.54,693.09,2012-09-13
709.68,713,707.01,709.6,2012-09-14
709.98,712.88,705,708.11,2012-09-17
718.28,718.66,706.78,707.78,2012-09-18
727.5,728.56,716.41,717.5,2012-09-19
728.117,731.38,721.22,724.47,2012-09-20
733.99,734.92,730.12,732.21,2012-09-21
749.38,750.04,730.25,731,2012-09-24
749.16,764.89,747.66,753.05,2012-09-25
753.46,761.24,741,749.85,2012-09-26
756.5,762.84,751.65,759.95,2012-09-27
754.5,759.3,751.15,754.15,2012-09-28
761.78,765,756.21,759.05,2012-10-01
756.99,765.99,750.27,765.2,2012-10-02
762.5,763.92,752.2,755.72,2012-10-03
768.05,769.89,759.4,762.75,2012-10-04
767.65,774.38,765.005,770.71,2012-10-05
757.84,763.58,754.15,761,2012-10-08
744.09,761.319,742.53,759.67,2012-10-09
744.56,747.528,738.29,741.86,2012-10-10
751.48,758.5,750.29,752.9,2012-10-11
744.75,754.87,744.1,751.85,2012-10-12
740.98,743.83,730.701,741.94,2012-10-15
744.7,746.99,736.46,740.13,2012-10-16
755.49,756.34,740.26,743.95,2012-10-17
695,759.425,676,755.54,2012-10-18
681.79,706.7,672,705.58,2012-10-19
678.67,684.63,669.7,681.01,2012-10-22
680.35,687.33,672,672.01,2012-10-23
677.302,687,675.27,686.8,2012-10-24
677.76,682,673.51,680,2012-10-25
675.15,683.03,671.2,676.5,2012-10-26
680.298,681,675,679.86,2012-10-31
687.59,690.9,678.72,679.5,2012-11-01
687.918,695.55,687.37,694.79,2012-11-02
682.96,686.86,675.56,684.5,2012-11-05
681.72,686.5,677.55,685.48,2012-11-06
667.12,678.232,666.49,675,2012-11-07
652.29,671.49,651.23,670.2,2012-11-08
663.03,668.34,650.3,654.65,2012-11-09
665.9,669.8,660.87,663.75,2012-11-12
659.053,667.6,658.23,663,2012-11-13
652.55,662.18,650.5,660.66,2012-11-14
647.26,660,643.896,650,2012-11-15
647.18,653.015,636,645.99,2012-11-16
668.21,668.92,655.53,655.7,2012-11-19
669.97,678,664.57,669.51,2012-11-20
665.87,669.8,660.4,668.99,2012-11-21
667.97,670,666.1,669.97,2012-11-23
661.15,667,659.02,666.44,2012-11-26
670.71,675,658,660.17,2012-11-27
683.67,684.91,663.89,668.01,2012-11-28
691.89,693.9,682,687.78,2012-11-29
698.37,699.22,685.69,691.31,2012-11-30
695.25,705.89,694.111,702.24,2012-12-03
691.03,695.51,685.7,695,2012-12-04
687.82,694.5,682.33,692.15,2012-12-05
691.13,695.61,684.51,687.59,2012-12-06
684.21,696.88,682.419,695,2012-12-07
685.42,691.65,683.79,685.39,2012-12-10
696.88,701.92,687.72,690,2012-12-11
697.56,703.51,693.48,699.23,2012-12-12
702.7,716.475,699.55,715.92,2012-12-13
701.963,707.82,698.43,699.17,2012-12-14
720.78,738.28,704.02,705.5,2012-12-17
721.07,729.1,715.05,716.6,2012-12-18
720.11,723,716.68,720.71,2012-12-19
722.36,724.65,716.972,723.26,2012-12-20
715.63,718.819,710.52,713.97,2012-12-21
709.5,715.18,707.47,714.51,2012-12-24
708.87,712.88,702.41,708.07,2012-12-26
706.29,708.84,698.61,707.14,2012-12-27
700.01,706.91,700.01,701.69,2012-12-28
707.38,710.57,696,700,2012-12-31
723.25,727,716.55,719.42,2013-01-02
723.67,731.93,720.72,724.93,2013-01-03
737.97,741.47,727.68,729.34,2013-01-04
734.75,739.38,730.58,735.45,2013-01-07
