date,value,group
15-Feb-70,-0.78,-
15-May-70,2.36,-
15-Aug-70,1.03,-
15-Nov-70,1.02,-
15-Feb-71,-0.75,-
15-May-71,1.77,-
15-Aug-71,1.74,-
15-Nov-71,0.49,-
15-Feb-72,0,-
15-May-72,2.68,-
15-Aug-72,0.24,-
15-Nov-72,1.65,-
15-Feb-73,4.88,-
15-May-73,0.22,-
15-Aug-73,-0.88,-
15-Nov-73,-0.45,-
15-Feb-74,-2.69,-
15-May-74,1.38,-
15-Aug-74,0.68,-
15-Nov-74,-1.58,-
15-Feb-75,0.23,-
15-May-75,-1.83,-
15-Aug-75,-0.23,-
15-Nov-75,1.17,-
15-Feb-76,1.62,-
15-May-76,-0.23,-
15-Aug-76,1.14,-
15-Nov-76,2.25,-
15-Feb-77,0,-
15-May-77,-0.66,-
15-Aug-77,0.67,-
15-Nov-77,1.76,-
15-Feb-78,0.87,-
15-May-78,1.07,-
15-Aug-78,1.49,-
15-Nov-78,0.84,-
15-Feb-79,-0.41,-
15-May-79,4.58,-
15-Aug-79,-2.19,-
15-Nov-79,1.02,-
15-Feb-80,-1.01,-
15-May-80,-2.04,-
15-Aug-80,0,-
15-Nov-80,-1.25,-
15-Feb-81,0,-
15-May-81,0.21,-
15-Aug-81,1.05,-
15-Nov-81,0.21,-
15-Feb-82,0,-
15-May-82,1.24,-
15-Aug-82,0.2,-
15-Nov-82,0.61,-
15-Feb-83,1.83,-
15-May-83,1,-
15-Aug-83,0.99,-
15-Nov-83,0.98,-
15-Feb-84,0.58,-
15-May-84,-0.77,-
15-Aug-84,0.58,-
15-Nov-84,1.93,-
15-Feb-85,0.95,-
15-May-85,2.06,-
15-Aug-85,0.18,-
15-Nov-85,0.18,-
15-Feb-86,1.1,-
15-May-86,0.72,-
15-Aug-86,0.54,-
15-Nov-86,1.79,-
15-Feb-87,0.88,-
15-May-87,1.39,-
15-Aug-87,2.41,-
15-Nov-87,1.17,-
15-Feb-88,1.82,-
15-May-88,0.65,-
15-Aug-88,1.46,-
15-Nov-88,0.96,-
15-Feb-89,0.32,-
15-May-89,0.79,-
15-Aug-89,0,-
15-Nov-89,0.16,-
15-Feb-90,0.62,-
15-May-90,0.47,-
15-Aug-90,-0.93,-
15-Nov-90,-0.47,-
15-Feb-91,-0.16,-
15-May-91,-0.16,-
15-Aug-91,-0.31,-
15-Nov-91,0.16,-
15-Feb-92,0,-
15-May-92,-0.16,-
15-Aug-92,0.63,-
15-Nov-92,0.78,-
15-Feb-93,0.78,-
15-May-93,0.46,-
15-Aug-93,0.77,-
15-Nov-93,0.76,-
15-Feb-94,1.21,-
15-May-94,1.04,-
15-Aug-94,1.18,-
15-Nov-94,0.58,-
15-Feb-95,0.29,-
15-May-95,0.43,-
15-Aug-95,1.01,-
15-Nov-95,0.43,-
15-Feb-96,0.99,-
15-May-96,0.28,-
15-Aug-96,0.42,-
15-Nov-96,0.56,-
15-Feb-97,0.83,-
15-May-97,1.24,-
15-Aug-97,0.54,-
15-Nov-97,1.35,-
15-Feb-98,0.53,-
15-May-98,0.53,-
15-Aug-98,0.79,-
15-Nov-98,0.92,-
15-Feb-99,0.78,-
15-May-99,0,-
15-Aug-99,1.8,-
15-Nov-99,1.39,-
15-Feb-00,1,-
15-May-00,0.74,-
15-Aug-00,0.37,-
15-Nov-00,0.12,-
15-Feb-01,1.34,-
15-May-01,0.6,-
15-Aug-01,0.72,-
15-Nov-01,0.36,-
15-Feb-02,0.47,-
15-May-02,0.71,-
15-Aug-02,0.7,-
15-Nov-02,0.93,-
15-Feb-03,0.81,-
15-May-03,0.91,-
15-Aug-03,1.02,-
15-Nov-03,0.78,-
15-Feb-04,0.56,-
15-May-04,0.55,-
15-Aug-04,0.11,-
15-Nov-04,0.66,-
15-Feb-05,0.55,-
15-May-05,1.09,-
15-Aug-05,1.07,-
15-Nov-05,1.38,-
15-Feb-06,0.31,-
15-May-06,0.21,-
15-Aug-06,0.21,-
15-Nov-06,0.31,-
15-Feb-07,1.04,-
15-May-07,0.72,-
15-Aug-07,0.71,-
15-Nov-07,0.81,-
15-Feb-08,0.1,-
15-May-08,-0.6,-
15-Aug-08,-1.72,-
15-Nov-08,-2.26,-
15-Feb-09,-1.58,-
15-May-09,-0.32,-
15-Aug-09,0.11,-
15-Nov-09,0.43,-
15-Feb-10,0.53,-
15-May-10,1.06,-
15-Aug-10,0.52,-
15-Nov-10,0.1,-
15-Feb-11,0.52,-
15-May-11,0.1,-
15-Aug-11,0.41,-
15-Nov-11,0.31,-
15-Feb-12,0.41,-
15-May-12,-0.1,-
15-Aug-12,1.13,-
15-Nov-12,-0.2,-
15-Feb-13,0.61,-
15-May-13,0.5,-
15-Aug-13,0.8,-
15-Nov-13,0.5,-
15-Feb-14,0.79,-
15-May-14,0.98,-
15-Aug-14,0.78,-
15-Nov-14,0.87,-
15-Feb-15,0.19,-
15-May-15,0.48,-
15-Aug-15,0.38,-
15-Nov-15,0.76,-
15-Feb-16,0.38,-
15-May-16,0.66,-
