barDate,value,lineData,UK LFS: UNEMPLOYED: AGED 16+ VOLA
01/02/2000,1.01,31/01/2000,1685
01/05/2000,0.73,29/02/2000,1682
01/08/2000,0.29,31/03/2000,1655
01/11/2000,0.15,28/04/2000,1640
01/02/2001,1.31,31/05/2000,1599
01/05/2001,0.69,30/06/2000,1551
01/08/2001,0.68,31/07/2000,1529
01/11/2001,0.4,31/08/2000,1548
01/02/2002,0.42,29/09/2000,1571
01/05/2002,0.73,31/10/2000,1540
01/08/2002,0.76,30/11/2000,1520
01/11/2002,0.87,29/12/2000,1504
01/02/2003,0.82,31/01/2001,1516
01/05/2003,0.91,28/02/2001,1481
01/08/2003,1,30/03/2001,1459
01/11/2003,0.83,30/04/2001,1431
01/02/2004,0.56,31/05/2001,1468
01/05/2004,0.47,29/06/2001,1472
01/08/2004,0.19,31/07/2001,1483
01/11/2004,0.6,31/08/2001,1487
01/02/2005,0.58,28/09/2001,1487
01/05/2005,1.08,31/10/2001,1495
01/08/2005,1.09,30/11/2001,1520
01/11/2005,1.36,31/12/2001,1518
01/02/2006,0.33,31/01/2002,1508
01/05/2006,0.23,28/02/2002,1515
01/08/2006,0.14,29/03/2002,1522
01/11/2006,0.36,30/04/2002,1542
01/02/2007,1.01,31/05/2002,1520
01/05/2007,0.74,28/06/2002,1527
01/08/2007,0.76,31/07/2002,1539
01/11/2007,0.75,30/08/2002,1566
01/02/2008,0.15,30/09/2002,1546
01/05/2008,-0.65,31/10/2002,1532
01/08/2008,-1.69,29/11/2002,1516
01/11/2008,-2.26,31/12/2002,1480
01/02/2009,-1.63,31/01/2003,1517
01/05/2009,-0.23,28/02/2003,1531
01/08/2009,0.07,31/03/2003,1517
01/11/2009,0.41,30/04/2003,1486
01/02/2010,0.55,30/05/2003,1467
01/05/2010,1.01,30/06/2003,1506
01/08/2010,0.56,31/07/2003,1504
01/11/2010,0.12,29/08/2003,1502
01/02/2011,0.56,30/09/2003,1473
01/05/2011,0.07,31/10/2003,1461
01/08/2011,0.43,28/11/2003,1457
01/11/2011,0.25,31/12/2003,1442
01/02/2012,0.44,30/01/2004,1436
01/05/2012,-0.09,27/02/2004,1434
01/08/2012,1.14,31/03/2004,1437
01/11/2012,-0.23,30/04/2004,1435
01/02/2013,0.63,31/05/2004,1437
01/05/2013,0.52,30/06/2004,1423
01/08/2013,0.76,30/07/2004,1405
01/11/2013,0.49,31/08/2004,1401
01/02/2014,0.85,30/09/2004,1397
01/05/2014,0.93,29/10/2004,1407
01/08/2014,0.81,30/11/2004,1423
01/11/2014,0.83,31/12/2004,1425
01/02/2015,0.26,31/01/2005,1447
01/05/2015,0.42,28/02/2005,1416
01/08/2015,0.44,31/03/2005,1420
01/11/2015,0.68,29/04/2005,1436
01/02/2016,0.45,31/05/2005,1437
01/05/2016,0.59,30/06/2005,1424
,,29/07/2005,1420
,,31/08/2005,1437
,,30/09/2005,1500
,,31/10/2005,1538
,,30/11/2005,1567
,,30/12/2005,1551
,,31/01/2006,1584
,,28/02/2006,1604
,,31/03/2006,1633
,,28/04/2006,1664
,,31/05/2006,1685
,,30/06/2006,1698
,,31/07/2006,1690
,,31/08/2006,1693
,,29/09/2006,1691
,,31/10/2006,1674
,,30/11/2006,1701
,,29/12/2006,1703
,,31/01/2007,1708
,,28/02/2007,1704
,,30/03/2007,1692
,,30/04/2007,1670
,,31/05/2007,1658
,,29/06/2007,1645
,,31/07/2007,1645
,,31/08/2007,1650
,,28/09/2007,1629
,,31/10/2007,1633
,,30/11/2007,1608
,,31/12/2007,1617
,,31/01/2008,1622
,,29/02/2008,1622
,,31/03/2008,1667
,,30/04/2008,1625
,,30/05/2008,1680
,,30/06/2008,1724
,,31/07/2008,1793
,,29/08/2008,1840
,,30/09/2008,1875
,,31/10/2008,1941
,,28/11/2008,2003
,,31/12/2008,2057
,,30/01/2009,2128
,,27/02/2009,2235
,,31/03/2009,2296
,,30/04/2009,2395
,,29/05/2009,2448
,,30/06/2009,2478
