date,0-24,25-49,25-64,65+
1950,60.42995692,27.58978848,36.23150471,3.338538369
1955,60.78713629,27.18168696,35.68056447,3.532299242
1960,61.41336226,26.73802942,34.96479539,3.621842346
1965,62.06122055,26.56564749,34.37447289,3.564306559
1970,62.58537378,26.56984775,33.97441982,3.440206401
1975,62.43700618,27.28078447,34.30686775,3.256126068
1980,62.0746648,28.42251176,34.96102106,2.964314137
1985,60.61433168,31.4145856,36.79913547,2.586532851
1990,60.47004505,31.47539525,36.72131687,2.808638084
1995,58.20446099,33.374892,38.90252667,2.893012342
2000,54.82325791,36.72091788,42.26436807,2.912374015
2005,51.37966388,39.41371327,45.79116056,2.829175562
2010,48.15178874,41.42994286,49.07776599,2.770445266
2015,44.21210695,42.85862259,52.92558693,2.862306126
