date,index
1990,100
1991,95
1992,81.225
1993,74.158425
1994,64.74030503
1995,62.08595252
1996,59.84589135
1997,60.67236311
1998,57.4294253
1999,61.0767681
2000,67.21254023
2001,70.63433065
2002,73.9852233
2003,79.35137154
2004,85.02578812
2005,90.45638521
2006,97.8312943
2007,106.1811953
2008,111.7535844
2009,103.0368048
2010,107.673461
2011,112.3034198
2012,116.1217361
2013,117.6313187
2014,118.4547379
2015,114.0719126
2016,112.3608339
