name,iso_a3,population,region,same-sex-marriage
"Afghanistan","AFG","28400000","Asia",
"Angola","AGO","12799293","Africa"
"Albania","ALB","3639453","Europe"
"United Arab Emirates","ARE","4798491","Asia"
"Argentina","ARG","40913584","Americas","legal"
"Armenia","ARM","2967004","Asia"
"Antarctica","ATA","3802","Antarctica"
"Fr. S. Antarctic Lands","ATF","140","Seven seas (open ocean)"
"Australia","AUS","21262641","Oceania"
"Austria","AUT","8210281","Europe"
"Azerbaijan","AZE","8238672","Asia"
"Burundi","BDI","8988091","Africa"
"Belgium","BEL","10414336","Europe","legal"
"Benin","BEN","8791832","Africa"
"Burkina Faso","BFA","15746232","Africa"
"Bangladesh","BGD","156050883","Asia"
"Bulgaria","BGR","7204687","Europe"
"Bahamas","BHS","309156","Americas"
"Bosnia and Herz.","BIH","4613414","Europe"
"Belarus","BLR","9648533","Europe"
"Belize","BLZ","307899","Americas"
"Bolivia","BOL","9775246","Americas"
"Brazil","BRA","198739269","Americas","legal"
"Brunei","BRN","388190","Asia"
"Bhutan","BTN","691141","Asia"
"Botswana","BWA","1990876","Africa"
"Central African Rep.","CAF","4511488","Africa"
"Canada","CAN","33487208","Americas","legal"
"Switzerland","CHE","7604467","Europe"
"Chile","CHL","16601707","Americas"
"China","CHN","1338612970","Asia"
"Côte d'Ivoire","CIV","20617068","Africa"
"Cameroon","CMR","18879301","Africa"
"Dem. Rep. Congo","COD","68692542","Africa"
"Congo","COG","4012809","Africa"
"Colombia","COL","45644023","Americas"
"Costa Rica","CRI","4253877","Americas"
"Cuba","CUB","11451652","Americas"
"N. Cyprus","-99","265100","Asia"
"Cyprus","CYP","531640","Asia"
"Czech Rep.","CZE","10211904","Europe"
"Germany","DEU","82329758","Europe"
"Djibouti","DJI","516055","Africa"
"Denmark","DNK","5500510","Europe","legal"
"Dominican Rep.","DOM","9650054","Americas"
"Algeria","DZA","34178188","Africa"
"Ecuador","ECU","14573101","Americas"
"Egypt","EGY","83082869","Africa"
"Eritrea","ERI","5647168","Africa"
"Spain","ESP","40525002","Europe","legal"
"Estonia","EST","1299371","Europe"
"Ethiopia","ETH","85237338","Africa"
"Finland","FIN","5250275","Europe","laws not yet in force"
"Fiji","FJI","944720","Oceania"
"Falkland Is.","FLK","3140","Americas"
"France","FRA","64057792","Europe","legal"
"Gabon","GAB","1514993","Africa"
"United Kingdom","GBR","62262000","Europe","legal in certain sub-jurisdictions"
"Georgia","GEO","4615807","Asia"
"Ghana","GHA","23832495","Africa"
"Guinea","GIN","10057975","Africa"
"Gambia","GMB","1782893","Africa"
"Guinea-Bissau","GNB","1533964","Africa"
"Eq. Guinea","GNQ","650702","Africa"
"Greece","GRC","10737428","Europe"
"Greenland","GRL","57600","Americas"
"Guatemala","GTM","13276517","Americas"
"Guyana","GUY","772298","Americas"
"Honduras","HND","7792854","Americas"
"Croatia","HRV","4489409","Europe"
"Haiti","HTI","9035536","Americas"
"Hungary","HUN","9905596","Europe"
"Indonesia","IDN","240271522","Asia"
"India","IND","1166079220","Asia"
"Ireland","IRL","4203200","Europe","laws not yet in force"
"Iran","IRN","66429284","Asia"
"Iraq","IRQ","31129225","Asia"
"Iceland","ISL","306694","Europe","legal"
"Israel","ISR","7233701","Asia"
"Italy","ITA","58126212","Europe"
"Jamaica","JAM","2825928","Americas"
"Jordan","JOR","6342948","Asia"
"Japan","JPN","127078679","Asia"
"Kazakhstan","KAZ","15399437","Asia"
"Kenya","KEN","39002772","Africa"
"Kyrgyzstan","KGZ","5431747","Asia"
"Cambodia","KHM","14494293","Asia"
"Korea","KOR","48508972","Asia"
"Kosovo","-99","1804838","Europe"
"Kuwait","KWT","2691158","Asia"
"Lao PDR","LAO","6834942","Asia"
"Lebanon","LBN","4017095","Asia"
"Liberia","LBR","3441790","Africa"
"Libya","LBY","6310434","Africa"
"Sri Lanka","LKA","21324791","Asia"
"Lesotho","LSO","2130819","Africa"
"Lithuania","LTU","3555179","Europe"
"Luxembourg","LUX","491775","Europe","legal"
"Latvia","LVA","2231503","Europe"
"Morocco","MAR","34859364","Africa"
"Moldova","MDA","4320748","Europe"
"Madagascar","MDG","20653556","Africa"
"Mexico","MEX","111211789","Americas","legal in certain sub-jurisdictions"
"Macedonia","MKD","2066718","Europe"
"Mali","MLI","12666987","Africa"
"Myanmar","MMR","48137741","Asia"
"Montenegro","MNE","672180","Europe"
"Mongolia","MNG","3041142","Asia"
"Mozambique","MOZ","21669278","Africa"
"Mauritania","MRT","3129486","Africa"
"Malawi","MWI","14268711","Africa"
"Malaysia","MYS","25715819","Asia"
"Namibia","NAM","2108665","Africa"
"New Caledonia","NCL","227436","Oceania"
"Niger","NER","15306252","Africa"
"Nigeria","NGA","149229090","Africa"
"Nicaragua","NIC","5891199","Americas"
"Netherlands","NLD","16715999","Europe","legal in certain sub-jurisdictions"
"Norway","NOR","4676305","Europe","legal"
"Nepal","NPL","28563377","Asia"
"New Zealand","NZL","4213418","Oceania","legal in certain sub-jurisdictions"
"Oman","OMN","3418085","Asia"
"Pakistan","PAK","176242949","Asia"
"Panama","PAN","3360474","Americas"
"Peru","PER","29546963","Americas"
"Philippines","PHL","97976603","Asia"
"Papua New Guinea","PNG","6057263","Oceania"
"Poland","POL","38482919","Europe"
"Puerto Rico","PRI","3971020","Americas"
"Dem. Rep. Korea","PRK","22665345","Asia"
"Portugal","PRT","10707924","Europe","legal"
"Paraguay","PRY","6995655","Americas"
"Palestine","PSE","4119083","Asia"
"Qatar","QAT","833285","Asia"
"Romania","ROU","22215421","Europe"
"Russia","RUS","140041247","Europe"
"Rwanda","RWA","10473282","Africa"
"W. Sahara","ESH","-99","Africa"
"Saudi Arabia","SAU","28686633","Asia"
"Sudan","SDN","25946220","Africa"
"S. Sudan","SSD","10625176","Africa"
"Senegal","SEN","13711597","Africa"
"Solomon Is.","SLB","595613","Oceania"
"Sierra Leone","SLE","6440053","Africa"
"El Salvador","SLV","7185218","Americas"
"Somaliland","-99","3500000","Africa"
"Somalia","SOM","9832017","Africa"
"Serbia","SRB","7379339","Europe"
"Suriname","SUR","481267","Americas"
"Slovakia","SVK","5463046","Europe"
"Slovenia","SVN","2005692","Europe","laws not yet in force"
"Sweden","SWE","9059651","Europe","legal"
