name,iso_a3,population,region,same-sex-marriage
"Afghanistan","AFG","28400000","Asia",
"Swaziland","SWZ","1123913","Africa"
"Syria","SYR","20178485","Asia"
"Chad","TCD","10329208","Africa"
"Togo","TGO","6019877","Africa"
"Thailand","THA","65905410","Asia"
"Tajikistan","TJK","7349145","Asia"
"Turkmenistan","TKM","4884887","Asia"
"Timor-Leste","TLS","1131612","Asia"
"Trinidad and Tobago","TTO","1310000","Americas"
"Tunisia","TUN","10486339","Africa"
"Turkey","TUR","76805524","Asia"
"Taiwan","TWN","22974347","Asia"
"Tanzania","TZA","41048532","Africa"
"Uganda","UGA","32369558","Africa"
"Ukraine","UKR","45700395","Europe"
"Uruguay","URY","3494382","Americas","legal"
"United States","USA","313973000","Americas","legal in certain sub-jurisdictions"
"Uzbekistan","UZB","27606007","Asia"
"Venezuela","VEN","26814843","Americas"
"Vietnam","VNM","86967524","Asia"
"Vanuatu","VUT","218519","Oceania"
"Yemen","YEM","23822783","Asia"
"South Africa","ZAF","49052489","Africa","legal"
"Zambia","ZMB","11862740","Africa"
"Zimbabwe","ZWE","12619600","Africa"
