date,x
31-Jan-10,8.75
26-Feb-10,8.75
31-Mar-10,8.75
30-Apr-10,9.5
31-May-10,9.5
30-Jun-10,10.25
30-Jul-10,10.75
31-Aug-10,10.75
30-Sep-10,10.75
29-Oct-10,10.75
30-Nov-10,10.75
31-Dec-10,10.75
31-Jan-11,11.25
28-Feb-11,11.25
31-Mar-11,11.75
29-Apr-11,12
31-May-11,12
30-Jun-11,12.25
29-Jul-11,12.5
31-Aug-11,12.5
30-Sep-11,12
31-Oct-11,11.5
30-Nov-11,11.5
30-Dec-11,11
31-Jan-12,10.5
29-Feb-12,10.5
30-Mar-12,9.75
30-Apr-12,9
31-May-12,8.5
29-Jun-12,8.5
31-Jul-12,8
31-Aug-12,7.5
28-Sep-12,7.5
31-Oct-12,7.25
30-Nov-12,7.25
31-Dec-12,7.25
31-Jan-13,7.25
28-Feb-13,7.25
29-Mar-13,7.25
30-Apr-13,7.5
31-May-13,8
28-Jun-13,8
31-Jul-13,8.5
30-Aug-13,9
30-Sep-13,9
31-Oct-13,9.5
29-Nov-13,10
31-Dec-13,10
31-Jan-14,10.5
28-Feb-14,10.75
31-Mar-14,10.75
30-Apr-14,11
30-May-14,11
30-Jun-14,11
31-Jul-14,11
29-Aug-14,11
30-Sep-14,11
31-Oct-14,11.25
28-Nov-14,11.25
31-Dec-14,11.75
30-Jan-15,12.25
27-Feb-15,12.25
31-Mar-15,12.75
30-Apr-15,13.25
29-May-15,13.25
30-Jun-15,13.75
31-Jul-15,14.25
31-Aug-15,14.25
30-Sep-15,14.25
30-Oct-15,14.25
30-Nov-15,14.25
31-Dec-15,14.25
29-Jan-16,14.25
29-Feb-16,14.25
31-Mar-16,14.25
29-Apr-16,14.25
