date,NASDAQ Composite (index),Dow Jones Industrials (index),highlight,annotate
01/01/1987,348.83,1895.95,,
08/01/1987,377.54,2002.25,,
15/01/1987,392.57,2070.73,,
22/01/1987,393.17,2145.67,,
29/01/1987,390.98,2160.01,,
05/02/1987,405.7,2201.49,,
12/02/1987,409.18,2165.78,,
19/02/1987,417.03,2244.09,,
26/02/1987,422.93,2216.68,,
05/03/1987,429,2276.43,,
12/03/1987,432.48,2267.34,,
19/03/1987,437,2299.57,,
26/03/1987,438.71,2372.59,,
02/04/1987,432.07,2320.45,,
09/04/1987,431.99,2339.2,,
16/04/1987,419.46,2275.99,,
23/04/1987,417.43,2280.97,,
30/04/1987,417.81,2286.36,,
07/05/1987,422.63,2334.66,,
14/05/1987,422.65,2325.49,,
21/05/1987,408.47,2225.77,,
28/05/1987,414.35,2310.68,,
04/06/1987,417.41,2337.08,,
11/06/1987,423.37,2360.13,,
18/06/1987,428.97,2408.13,,
25/06/1987,427.2,2451.05,,
02/07/1987,425.88,2436.7,,
09/07/1987,425.58,2451.21,,
16/07/1987,433.21,2496.97,,
23/07/1987,427.63,2471.94,,
30/07/1987,433.57,2567.44,,
06/08/1987,440.8,2594.23,,
13/08/1987,451.55,2691.49,,
20/08/1987,452.75,2706.79,,
27/08/1987,454.79,2675.06,,
03/09/1987,448.36,2599.49,,
10/09/1987,443.48,2576.05,,
17/09/1987,440.75,2527.9,,
24/09/1987,441.24,2566.42,,
01/10/1987,448.45,2639.2,,
08/10/1987,440.03,2516.64,,
15/10/1987,422.51,2355.09,,
22/10/1987,336.13,1950.43,,
29/10/1987,307.05,1938.33,,
05/11/1987,326.18,1985.41,,
12/11/1987,324,1960.21,,
19/11/1987,313.93,1895.39,,
26/11/1987,317.78,1946.95,,
03/12/1987,298.75,1776.53,,
10/12/1987,300.81,1855.44,,
17/12/1987,319.51,1924.4,,
24/12/1987,333.19,1999.67,,
31/12/1987,330.47,1938.83,,
07/01/1988,349.66,2051.89,,
14/01/1988,334.23,1916.11,,
21/01/1988,334.25,1879.31,,
28/01/1988,342.36,1930.04,,
04/02/1988,344.66,1923.57,,
11/02/1988,351.04,1961.54,,
18/02/1988,355.63,1986.41,,
25/02/1988,363.62,2017.57,,
03/03/1988,372.01,2063.49,,
10/03/1988,376.76,2026.03,,
17/03/1988,380.7,2086.04,,
24/03/1988,375.6,2023.87,,
31/03/1988,374.64,1988.06,,
07/04/1988,378.88,2062.17,,
14/04/1988,374.52,2005.64,,
21/04/1988,373.2,1987.4,,
28/04/1988,378.77,2041.28,,
05/05/1988,379.51,2020.23,,
12/05/1988,370.23,1968,,
19/05/1988,366.25,1958.72,,
26/05/1988,367.29,1966.75,,
02/06/1988,374.65,2052.45,,
09/06/1988,384.6,2093.35,,
16/06/1988,387.1,2094.24,,
23/06/1988,391.03,2148.29,,
30/06/1988,394.66,2141.71,,
07/07/1988,395.43,2122.69,,
14/07/1988,394.67,2113.62,,
21/07/1988,388.86,2086.59,,
28/07/1988,384.08,2082.33,,
04/08/1988,388.86,2126.6,,
11/08/1988,379.11,2039.3,,
18/08/1988,377.22,2027.03,,
25/08/1988,374.04,2010.85,,
01/09/1988,372.96,2002.31,,
08/09/1988,379.73,2063.12,,
15/09/1988,382.7,2092.28,,
22/09/1988,384.86,2080.01,,
29/09/1988,386.05,2119.31,,
06/10/1988,385.15,2107.75,,
13/10/1988,383.46,2133.36,,
20/10/1988,388.62,2181.19,,
27/10/1988,381.77,2140.83,,
03/11/1988,382.76,2170.34,,
10/11/1988,378.4,2114.69,,
17/11/1988,367.43,2052.45,,
24/11/1988,367.76,2092.28,,
01/12/1988,373.87,2101.88,,
08/12/1988,375.22,2141.71,,
15/12/1988,373.01,2133,,
22/12/1988,376.5,2160.36,,
29/12/1988,379.05,2182.68,,
05/01/1989,383.79,2190.54,,
12/01/1989,387.01,2222.32,,
19/01/1989,391.08,2239.11,,
26/01/1989,397.09,2291.07,,
02/02/1989,405.16,2333.75,,
09/02/1989,406.39,2323.04,,
