name,x,y,size,cat,label
France,40538,30,200,Developed,
Netherlands,47960,54,200,Developed,
Italy,35131,13,200,Developed,
South Korea,35379,14,200,Developed,
Canada,44967,17,200,Developed,
India,5808,9,200,Developed,
Belgium,43139,28,200,Developed,
Spain,33835,14,200,Developed,
Russia,24449,16,200,Developed,
Mexico,17950,11,200,Developed,
Brazil,16155,5,200,Developed,
Switzerland,58149,18,200,Developed,
Australia,46550,10,200,Developed,
Saudi Arabia,52311,23,200,Developed,
United Arab Emirates,66347,22,200,Developed,
Malaysia,25145,12,200,Developed,
Thailand,15579,11,200,Developed,
Poland,25247,7,200,Developed,
Sweden,46219,13,200,Developed,
Ireland,51284,46,200,Developed,
Turkey,19698,5,200,Developed,
Indonesia,10651,3,200,Developed,
Austria,46640,12,200,Developed,
Norway,67166,6,200,Developed,
Czech Republic,30047,7,200,Developed,
Finland,40661,5,200,Developed,
Denmark,44625,9,200,Developed,
Vietnam,5656,6,200,Developed,
Kuwait,70686,11,200,Developed,
Hungary,25019,7,200,Developed,
South Africa,13094,3,200,Developed,
Nigeria,6054,2,200,Developed,
Portugal,27069,5,200,Developed,
Israel,33136,5,200,Developed,
Chile,23057,4,200,Developed,
Philippines,6974,3,200,Developed,
Slovak Republic,28279,5,200,Developed,
Argentina,22302,2,200,Developed,
Colombia,13480,2,200,Developed,
Romania,19744,4,200,Developed,
Kazakhstan,24108,10,200,Developed,
Venezuela,17759,2,200,Developed,
Greece,25954,4,200,Developed,
Egypt,10918,2,200,Developed,
Algeria,13888,2,200,Developed,
Ukraine,8681,10,200,Developed,
New Zealand,35305,4,200,Developed,
Peru,11860,2,200,Developed,
Oman,43847,3,200,Developed,
Pakistan,4749,3,200,Developed,
Bangladesh,3391,3,200,Developed,
Morocco,7813,3,200,Developed,
Angola,7270,2,200,Developed,
Azerbaijan,17761,3,200,Developed,
Belarus,18246,4,200,Developed,
Ecuador,11303,2,200,Developed,
Croatia,20947,4,200,Developed,
Sri Lanka,10410,2,200,Developed,
Guatemala,7550,1,200,Developed,
Dominican Republic,14014,2,200,Developed,
Mozambique,1178,3,200,Developed,
Kenya,3099,1,200,Developed,
Cambodia,3276,2,200,Developed,
Uruguay,21055,1,200,Developed,
Ghana,4137,1,200,Developed,
Zambia,4087,1,200,Developed,
Yemen,3788,1,200,Developed,
Tanzania,2742,1,200,Developed,
Uganda,1939,1,200,Developed,
Cameroon,3007,1,200,Developed,
Senegal,2352,1,200,Developed,
Mali,1742,1,200,Developed,
Burkina Faso,1688,2,200,Developed,
Guinea,1257,1,200,Developed,
Rwanda,1703,1,200,Developed,
China,13224,34,200,Developed,
US,54370,53,200,Developed,
Germany,46216,52,200,Developed,
UK,39826,41,200,Developed,
Japan,37519,11,200,Developed,
Singapore,83066,64,200,Developed,
