date,x
1858,65
1868,96
1878,120
1888,139
1898,158
1908,181
1913,196
1914,191
1915,199
1916,208
1917,207
1918,190
1919,185
1920,194
1921,132
1922,170
1923,183
1924,188
1925,179
1926,123
1927,186
1928,174
1929,184
1930,175
1931,162
1932,159
1933,159
1934,170
1935,176
1936,185
1937,192
1938,181
1939,190
1940,199
1941,200
1942,201
1943,193
1944,190
1945,182
1946,189
1947,187
1948,197
1949,199
1950,206
1951,211
1952,210
1953,211
1954,217
1955,219
1956,221
1957,216
1958,206
1959,192
1960,200
1961,195
1962,194
1963,197
1964,190
1965,188
1966,178
1967,166
1968,167
1969,164
1970,157
1971,141
1972,123
1973,133
1974,118
1975,122
1976,124
1977,124
1978,120
1979,129
1980,123
1981,118
1982,111
1983,111
1984,77
1985,105
1986,114
1987,116
1988,111
1989,108
1990,108
1991,108
1992,101
1993,87
1994,82
1995,77
1996,71
1997,63
1998,63
1999,56
2000,60
2001,64
2002,59
2003,63
2004,60
2005,62
2006,68
2007,63
2008,58
2009,49
2010,51
2011,52
2012,64
2013,60
2014,48
2015,38
2016,34
