pos,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005
1,Manchester United,Real Madrid,Real Madrid,Real Madrid,Real Madrid,Real Madrid,Real Madrid,Real Madrid,Real Madrid,Real Madrid,Real Madrid,Real Madrid
2,Barcelona,Barcelona,Manchester United,Barcelona,Barcelona,Barcelona,Barcelona,Barcelona,Manchester United,Manchester United,Barcelona,Manchester United
3,Real Madrid,Manchester United,Bayern Munich,Bayern Munich,Manchester United,Manchester United,Manchester United,Manchester United,Barcelona,Barcelona,Juventus,AC Milan
4,Bayern Munich,Paris Saint-Germain ,Barcelona,Manchester United,Bayern Munich,Bayern Munich,Bayern Munich,Bayern Munich,Bayern Munich,Chelsea,Manchester United,Juventus
5,Manchester City ,Bayern Munich,Paris Saint-Germain ,Paris Saint-Germain ,Chelsea,Arsenal,Arsenal,Arsenal,Chelsea,Arsenal,AC Milan,Chelsea
6,Paris Saint-Germain ,Manchester City ,Manchester City ,Manchester City ,Arsenal,Chelsea,Chelsea,Chelsea,Arsenal,AC Milan,Chelsea,Barcelona
7,Arsenal,Arsenal,Chelsea,Chelsea,Manchester City ,AC Milan,AC Milan,Liverpool,Liverpool,Bayern Munich,Inter Milan ,Bayern Munich
8,Chelsea,Chelsea,Arsenal,Arsenal,AC Milan,Inter Milan ,Liverpool,Juventus,AC Milan,Liverpool,Bayern Munich,Liverpool
9,Liverpool,Liverpool,Liverpool,Juventus,Liverpool,Liverpool,Inter Milan ,Inter Milan ,AS Roma,Inter Milan ,Arsenal,Inter Milan 
10,Juventus,Juventus,Juventus,AC Milan,Juventus,Schalke,Juventus,AC Milan,Inter Milan ,AS Roma,Liverpool,Arsenal
