pos,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
1,Manchester United,Manchester City,Manchester United,Manchester City,Chelsea,Leicester City
2,Chelsea,Manchester United,Manchester City,Liverpool,Manchester City,Arsenal
3,Manchester City,Arsenal,Chelsea,Chelsea,Arsenal,Tottenham Hotspur
4,Arsenal,Tottenham Hotspur,Arsenal,Arsenal,Manchester United,Manchester City
5,Tottenham Hotspur,Newcastle United,Tottenham Hotspur,Everton,Tottenham Hotspur,Manchester United
6,Liverpool,Chelsea,Everton,Tottenham Hotspur,Liverpool,Southampton
7,Everton,Everton,Liverpool,Manchester United,Southampton,West Ham United
8,Fulham,Liverpool,West Bromwich Albion,Southampton,Swansea City,Liverpool
9,Aston Villa,Fulham,Swansea City,Stoke City,Stoke City,Stoke City
10,Sunderland,West Bromwich Albion,West Ham United,Newcastle United,Crystal Palace,Chelsea
11,West Bromwich Albion,Swansea City,Norwich City,Crystal Palace,Everton,Everton
12,Newcastle United,Norwich City,Fulham,Swansea City,West Ham United,Swansea City
13,Stoke City,Sunderland,Stoke City,West Ham United,West Bromwich Albion,Watford
14,Bolton Wanderers,Stoke City,Southampton,Sunderland,Leicester City,West Bromwich Albion
15,Blackburn Rovers,Wigan Athletic,Aston Villa,Aston Villa,Newcastle United,Crystal Palace
16,Wigan Athletic,Aston Villa,Newcastle United,Hull City,Sunderland,AFC Bournemouth
17,Wolverhampton Wanderers,Queens Park Rangers,Sunderland,West Bromwich Albion,Aston Villa,Sunderland
18,Birmingham City,Bolton Wanderers,Wigan Athletic,Norwich City,Hull City,Newcastle United
19,Blackpool,Blackburn Rovers,Reading,Fulham,Burnley,Norwich City
20,West Ham United,Wolverhampton Wanderers,Queens Park Rangers,Cardiff City,Queens Park Rangers,Aston Villa
