pos,2016,2015,2014,2013,2012,2011,2010
1,Goldman Sachs,Goldman Sachs,Goldman Sachs,Goldman Sachs,Goldman Sachs,Goldman Sachs,Goldman Sachs
2,JPMorgan,JPMorgan,JPMorgan,JPMorgan,JPMorgan,JPMorgan,JPMorgan
3,Morgan Stanley,Morgan Stanley,Morgan Stanley,Morgan Stanley,Morgan Stanley,Morgan Stanley,Morgan Stanley
4,Bank of America Merrill Lynch,Bank of America Merrill Lynch,Bank of America Merrill Lynch,Bank of America Merrill Lynch,Credit Suisse,Credit Suisse,Credit Suisse
5,Citi,Citi,Citi,Citi,Bank of America Merrill Lynch,Bank of America Merrill Lynch,Deutsche Bank
6,Credit Suisse,Lazard,Barclays,Barclays,Deutsche Bank,Deutsche Bank,Bank of America Merrill Lynch
7,Barclays,Barclays,Deutsche Bank,Credit Suisse,Barclays,UBS,UBS
8,Lazard,Deutsche Bank,Credit Suisse,Lazard,Lazard,Lazard,Citi
9,Evercore Partners Inc,Credit Suisse,Lazard,Deutsche Bank,Citi,Barclays,Lazard
10,UBS,Rothschild & Co,UBS,UBS,UBS,Citi,Barclays
11,Deutsche Bank,UBS,Jefferies LLC,Evercore Partners Inc,Rothschild & Co,Rothschild & Co,Rothschild & Co
12,Jefferies LLC,Centerview Partners,Evercore Partners Inc,Jefferies LLC,Jefferies LLC,Jefferies LLC,Jefferies LLC
13,Rothschild & Co,Evercore Partners Inc,Rothschild & Co,Rothschild & Co,RBC Capital Markets,Nomura,Perella Weinberg Partners LP
14,Centerview Partners,Jefferies LLC,RBC Capital Markets,RBC Capital Markets,Evercore Partners Inc,RBC Capital Markets,Nomura
15,Houlihan Lokey,Houlihan Lokey,Centerview Partners,Houlihan Lokey,Moelis & Co,Macquarie Group,Macquarie Group
16,Moelis & Co,RBC Capital Markets,Moelis & Co,Moelis & Co,Nomura,Evercore Partners Inc,RBC Capital Markets
17,RBC Capital Markets,Qatalyst Partners,Houlihan Lokey,Centerview Partners,Macquarie Group,BNP Paribas,BNP Paribas
18,Wells Fargo Securities,Moelis & Co,Macquarie Group,Macquarie Group,Houlihan Lokey,HSBC,Stifel
19,Nomura,Macquarie Group,Perella Weinberg Partners LP,Greenhill & Co,Perella Weinberg Partners LP,Perella Weinberg Partners LP,Evercore Partners Inc
20,Greenhill & Co,Wells Fargo Securities,Wells Fargo Securities,Nomura,BMO Capital Markets,Houlihan Lokey,Greenhill & Co
21,Qatalyst Partners,Nomura,BNP Paribas,Perella Weinberg Partners LP,Greenhill & Co,BMO Capital Markets,HSBC
22,Perella Weinberg Partners LP,Perella Weinberg Partners LP,Qatalyst Partners,Wells Fargo Securities,Wells Fargo Securities,SG Corporate & Investment Banking,Houlihan Lokey
23,Macquarie Group,BNP Paribas,Nomura,BNP Paribas,Stifel,Moelis & Co,Moelis & Co
24,Guggenheim Partners LLC,HSBC,Piper Jaffray & Co,HSBC,TD Securities Inc,Greenhill & Co,BMO Capital Markets
25,BNP Paribas,Stifel,Stifel,Stifel,Qatalyst Partners,Stifel,Centerview Partners
26,Sandler O'Neill & Partners,BMO Capital Markets,Greenhill & Co,Piper Jaffray & Co,Centerview Partners,Qatalyst Partners,PJT Partners Inc
27,PJT Partners Inc,Sandler O'Neill & Partners,BMO Capital Markets,SG Corporate & Investment Banking,BNP Paribas,Wells Fargo Securities,Scotiabank 
28,BMO Capital Markets,Piper Jaffray & Co,Scotiabank,Qatalyst Partners,HSBC,Credit Agricole CIB,Daiwa Securities
29,Stifel,Greenhill & Co,HSBC,BMO Capital Markets,BTG Pactual,Scotiabank ,TD Securities Inc
30,HSBC,PJT Partners Inc,Sandler O'Neill & Partners,Canaccord Genuity Corp,PJT Partners Inc,ING,SG Corporate & Investment Banking
31,Piper Jaffray & Co,William Blair & Co LLC,Robert W Baird & Co,Daiwa Securities,Scotiabank ,CIBC World Markets,CIMB Group
32,William Blair & Co LLC,Allen & Co Inc,Raymond James & Associates Inc,Sandler O'Neill & Partners,GMP Capital Inc,TD Securities Inc,Santander
33,Robert W Baird & Co,Guggenheim Partners LLC,William Blair & Co LLC,PwC,SG Corporate & Investment Banking,Canaccord Genuity Corp,Piper Jaffray & Co
34,Robey Warshaw LLP,Robert W Baird & Co,Itau BBA,BDO,Sandler O'Neill & Partners,Centerview Partners,Mizuho
35,LionTree Advisors LLC,Raymond James & Associates Inc,TD Securities Inc,KPMG Corporate Finance,Canaccord Genuity Corp,Robert W Baird & Co,BTG Pactual
36,Allen & Co Inc,PwC,KPMG Corporate Finance,Scotiabank,Standard Chartered Bank,BTG Pactual,Standard Chartered Bank
37,Deloitte & Touche LLP,Lincoln International LLC,PwC,Robert W Baird & Co,Daiwa Securities,NatWest Markets,Canaccord Genuity Corp
38,Raymond James & Associates Inc,Itau BBA,PNC Bank NA,Mizuho,Robert W Baird & Co,PJT Partners Inc,Deloitte & Touche LLP
39,Mizuho,Sumitomo Mitsui Financial Group,Lincoln International LLC,Guggenheim Partners LLC,Itau BBA,Daiwa Securities,Credit Agricole CIB
40,China International Capital Corp Ltd,BTG Pactual,SG Corporate & Investment Banking,William Blair & Co LLC,Piper Jaffray & Co,CIMB Group,GMP Capital Inc
41,Scotiabank ,Daiwa Securities,Deloitte & Touche LLP,Raymond James & Associates Inc,William Blair & Co LLC,Sandler O'Neill & Partners,NatWest Markets
42,Daiwa Securities,TD Securities Inc,Canaccord Genuity Corp,TD Securities Inc,Sumitomo Mitsui Financial Group,KPMG Corporate Finance,Itau BBA
43,Lincoln International LLC,PNC Bank NA,Credit Agricole CIB,Lincoln International LLC,BDO,Itau BBA,KPMG Corporate Finance
44,BDO,KPMG Corporate Finance,BDO,Natixis,Raymond James & Associates Inc,Leonardo & Co,CIBC World Markets
45,Credit Agricole CIB,Mizuho,Ernst & Young,Sumitomo Mitsui Financial Group,KPMG Corporate Finance,Piper Jaffray & Co,GCA Corp (Japan)
46,SG Corporate & Investment Banking,LionTree Advisors LLC,Daiwa Securities,Leonardo & Co,Mizuho,GMP Capital Inc,Robert W Baird & Co
47,Natixis,Deloitte & Touche LLP,Green Square Associates Ltd,BTG Pactual,GCA Corp (Japan),Lincoln International LLC,UniCredit
48,TD Securities Inc,SG Corporate & Investment Banking,PJT Partners Inc,PJT Partners Inc,National Bank Financial,Sumitomo Mitsui Financial Group,Sumitomo Mitsui Financial Group
