pos,2016,2015,2014,2013,2012,2011,2010
49,GCA Corp (Japan),BDO,BTG Pactual,UniCredit,SEB,Ernst & Young,Mediobanca
50,Itau BBA,CIBC World Markets,GCA Corp (Japan),Ernst & Young,Lincoln International LLC,Raymond James & Associates Inc,BDO
51,KPMG Corporate Finance,Scotiabank ,Mizuho,VTB Capital,PwC,Deloitte & Touche LLP,Ernst & Young
52,Raine Group LLC,Zaoui & Co,Allen & Co Inc,Credit Agricole CIB,Deloitte & Touche LLP,Allen & Co Inc,Qatalyst Partners
53,Sumitomo Mitsui Financial Group,Ernst & Young,Sumitomo Mitsui Financial Group,Mediobanca,PNC Bank NA,BDO,Sandler O'Neill & Partners
54,PwC,Stephens,UniCredit,Deloitte & Touche LLP,CIBC World Markets,Mizuho,William Blair & Co LLC
55,CIBC World Markets,Mediobanca,Guggenheim Partners LLC,Stephens,Leonardo & Co,Santander,Raymond James & Associates Inc
56,Santander,GCA Corp (Japan),GMP Capital Inc,Rabobank,Mediobanca,Standard Chartered Bank,SEB
57,Ernst & Young,KeyBanc Capital Markets,CIBC World Markets,SunTrust Robinson Humphrey Inc,Stephens,UniCredit,Lincoln International LLC
58,UniCredit,Natixis,Stephens,CIBC World Markets,ING,William Blair & Co LLC,PNC Bank NA
59,PNC Bank NA,China International Capital Corp Ltd,SEB,Itau BBA,Bradesco BBI,GCA Corp (Japan),Haitong Securities Ltd
60,Intesa Sanpaolo SpA,Credit Agricole CIB,Mediobanca,SEB,NatWest Markets,VTB Capital,Allen & Co Inc
61,KeyBanc Capital Markets,UniCredit,ING,ING,UniCredit,Natixis,ING
62,Stephens,Canaccord Genuity Corp,Leonardo & Co,Santander,Ernst & Young,National Bank Financial,Wells Fargo Securities
63,Mediobanca,Standard Chartered Bank,National Bank Financial,LionTree Advisors LLC,Credit Agricole CIB,SEB,Mitsubishi UFJ Financial Group
64,ING,SunTrust Robinson Humphrey Inc,KeyBanc Capital Markets,GMP Capital Inc,Natixis,PwC,Investec Ltd
65,BTG Pactual,Leerink Partners LLC,Oppenheimer & Co Inc,GCA Corp (Japan),CIMB Group,Gresham Partners Group Ltd,Intesa Sanpaolo SpA
66,Clearwater International,ING,Intesa Sanpaolo SpA,Standard Chartered Bank,Sberbank CIB,Mediobanca,Oppenheimer & Co Inc
67,Rabobank,China Renaissance Partners,Natixis,Intesa Sanpaolo SpA,VTB Capital,BBVA,VTB Capital
68,BBVA,Investec Ltd,SunTrust Robinson Humphrey Inc,China International Capital Corp Ltd,Rabobank,Intesa Sanpaolo SpA,PwC
69,National Bank Financial,Rabobank,Investec Ltd,Allen & Co Inc,Nordea,Haitong Securities Ltd,Rabobank
70,Canaccord Genuity Corp,Santander,Bradesco BBI,Bradesco BBI,ABN AMRO Bank,Renaissance Capital,China International Capital Corp Ltd
71,GMP Capital Inc,GMP Capital Inc,CIMB Group,CIMB Group,Allen & Co Inc,PNC Bank NA,Foros
72,JLL,Duff & Phelps Corp,Rabobank,PNC Bank NA,BBVA,Rabobank,Natixis
73,MTS Health Partners,Bradesco BBI,ABN AMRO Bank,BBVA,Green Square Associates Ltd,FirstRand Ltd,JLL
74,Huatai Securities Co Ltd,Danske Bank,Dean Bradley Osborne Partners LL,National Bank Financial,KeyBanc Capital Markets,Investec Ltd,Carnegie
75,Zaoui & Co,ALANTRA (formerly N+1),Standard Chartered Bank,Sberbank CIB,Svenska Handelsbanken AB,China International Capital Corp Ltd,Gresham Partners Group Ltd
76,Haitong Securities Ltd,National Bank Financial,ALANTRA (formerly N+1),Green Square Associates Ltd,SunTrust Robinson Humphrey Inc,Oppenheimer & Co Inc,SunTrust Robinson Humphrey Inc
77,SunTrust Robinson Humphrey Inc,Robey Warshaw LLP,Nordea,ABN AMRO Bank,Gleacher & Co Inc,Carnegie,Sagent Advisors Inc
78,Carnegie,Leonardo & Co,Santander,Svenska Handelsbanken AB,Investec Ltd,Sberbank CIB,Duff & Phelps Corp
79,SEB,CITIC Securities,Financo Inc,Nordea,Intesa Sanpaolo SpA,RHB Capital Bhd,BBVA
80,Union Square Advisors LLC,Clearwater International,China International Capital Corp Ltd,Carnegie,Gresham Partners Group Ltd,Nordea,Gazprombank
81,China Renaissance Partners,Intesa Sanpaolo SpA,Livingstone Partners LLP,Haitong Securities Ltd,Maybank,Commerzbank Group,Guggenheim Partners LLC
82,Cowen & Company LLC,BBVA,BBVA,Ondra Partners LLP,Carnegie,Stephens,ABG Sundal Collier
83,ABN AMRO Bank,Arma Partners,Gresham Partners Group Ltd,CBRE Group Inc,Duff & Phelps Corp,Bradesco BBI,Clairfield International LLC
84,Standard Chartered Bank,Mitsubishi UFJ Financial Group,Carnegie,Millstein & Co,ALANTRA (formerly N+1),Duff & Phelps Corp,RHB Capital Bhd
85,Investec Ltd,RHB Capital Bhd,Raine Group LLC,KeyBanc Capital Markets,Aquasia Pty Ltd,JLL,National Bank Financial
86,Gresham Partners Group Ltd,SEB,DBS,RHB Capital Bhd,Haitong Securities Ltd,Gazprombank,CITIC Securities
87,VTB Capital,Baker Tilly International,Sberbank CIB,BDT & Co LLC,Peters & Co Ltd,CBRE Group Inc,Leonardo & Co
88,Financial Technology Partners LP,Generational Equity Co,LionTree Advisors LLC,Investec Ltd,Clairfield International LLC,Korea Development Bank - KDB,Bradesco BBI
89,Bradesco BBI,VTB Capital,VTB Capital,Leerink Partners LLC,Commerzbank Group,Flagstaff Partners Pty Ltd,Stephens
90,Danske Bank,Bank Degroof Petercam SA/NV,Maybank,Renaissance Capital,RHB Capital Bhd,Peters & Co Ltd,CaixaBI
91,ALANTRA (formerly N+1),Willis Towers Watson plc,Arma Partners,Raine Group LLC,JLL,Cormark Securities Inc,Gleacher & Co Inc
92,China Securities Co Ltd,ABN AMRO Bank,Leerink Partners LLC,JLL,MTS Health Partners,China Renaissance Partners,Pareto Securities AS
93,CITIC Securities,Oppenheimer & Co Inc,Clearwater International,Capitalmind,Gazprombank,Morgan Joseph TriArtisan,Stone Key Partners LLC
94,BDT & Co LLC,CIMB Group,Petsky Prunier LLC,Maybank,Sagent Advisors Inc,Livingstone Partners LLP,Sberbank CIB
95,Peters & Co Ltd,Petsky Prunier LLC,Svenska Handelsbanken AB,Quam Securities Co Ltd,FIH Partners,Stone Key Partners LLC,Kotak Mahindra Bank Ltd
96,CBRE Group Inc,Cowen & Company LLC,Duff & Phelps Corp,Signal Hill Capital Group LLC,Needham & Company LLC,ALANTRA (formerly N+1),Danske Bank
97,Leerink Partners LLC,Haitong Securities Ltd,Zaoui & Co,ANZ,Oppenheimer & Co Inc,ABG Sundal Collier,Signal Hill Capital Group LLC
98,Bank Degroof Petercam SA/NV,Cantor Fitzgerald & Co,Danske Bank,Sagent Advisors Inc,Ondra Partners LLP,DBS,Swedbank
99,CIMB Group,Numis Securities,Fort Street Advisers,Larrain Vial SA,CBRE Group Inc,Hartleys Ltd,Svenska Handelsbanken AB
100,Duff & Phelps Corp,BB&T Capital Markets,Gleacher Shacklock Ltd,Clairfield International LLC,China International Capital Corp Ltd,BDT & Co LLC,Cormark Securities Inc
