name,x,y,size,cat,label
China,13224,34,6480,Emerging,yes
United States,54370,53,6832,Developed,
Germany,46216,52,3798,Developed,
Japan,37519,11,2498,Developed,
UK,39826,41,2336,Developed,yes
France,40538,30,2262,Developed,
Netherlands,47960,54,1834,Developed,
Italy,35131,13,1587,Developed,
South Korea,35379,14,1510,Developed,
Canada,44967,17,1403,Developed,
Singapore,83066,64,1392,Developed,yes
India,5808,9,1316,Emerging,
Belgium,43139,28,1313,Developed,
Spain,33835,14,1105,Developed,
Russia,24449,16,1059,Emerging,
Mexico,17950,11,1022,Emerging,
Brazil,16155,5,869,Emerging,
Switzerland,58149,18,848,Developed,
Australia,46550,10,825,Developed,
Saudi Arabia,52311,23,790,Emerging,
United Arab Emirates,66347,22,789,Emerging,
Malaysia,25145,12,610,Emerging,
Thailand,15579,11,605,Emerging,
Poland,25247,7,585,Emerging,
Sweden,46219,13,572,Developed,
Ireland,51284,46,559,Developed,
Turkey,19698,5,521,Emerging,
Indonesia,10651,3,504,Emerging,
Austria,46640,12,470,Developed,
Norway,67166,6,458,Developed,
Czech Republic,30047,7,397,Emerging,
Finland,40661,5,390,Developed,
Denmark,44625,9,369,Developed,
Vietnam,5656,6,350,Emerging,
Kuwait,70686,11,306,Emerging,
Hungary,25019,7,287,Emerging,
South Africa,13094,3,277,Emerging,
Nigeria,6054,2,268,Emerging,
Portugal,27069,5,255,Developed,
Israel,33136,5,248,Emerging,
Chile,23057,4,239,Emerging,
Philippines,6974,3,230,Emerging,
Slovak Republic,28279,5,205,Emerging,
Argentina,22302,2,198,Emerging,
Colombia,13480,2,197,Emerging,
Romania,19744,4,194,Emerging,
Kazakhstan,24108,10,176,Emerging,
Venezuela,17759,2,172,Emerging,
Greece,25954,4,160,Developed,
Egypt,10918,2,158,Emerging,
Algeria,13888,2,152,Emerging,
Ukraine,8681,10,133,Emerging,
New Zealand,35305,4,130,Developed,
Peru,11860,2,122,Emerging,
Oman,43847,3,121,Emerging,
Pakistan,4749,3,116,Emerging,
Bangladesh,3391,3,109,Emerging,
Morocco,7813,3,104,Emerging,
Angola,7270,2,100,Emerging,
Azerbaijan,17761,3,92,Emerging,
Belarus,18246,4,92,Emerging,
Ecuador,11303,2,67,Emerging,
Croatia,20947,4,57,Emerging,
Sri Lanka,10410,2,56,Emerging,
Guatemala,7550,1,44,Emerging,
Dominican Republic,14014,2,41,Emerging,
Mozambique,1178,3,40,Emerging,
Kenya,3099,1,35,Emerging,
Cambodia,3276,2,35,Emerging,
Uruguay,21055,1,35,Emerging,
Ghana,4137,1,32,Emerging,
Zambia,4087,1,29,Emerging,
Yemen,3788,1,26,Emerging,
Tanzania,2742,1,25,Emerging,
Uganda,1939,1,18,Emerging,
Cameroon,3007,1,17,Emerging,
Senegal,2352,1,15,Emerging,
Mali,1742,1,11,Emerging,
Burkina Faso,1688,2,8,Emerging,
Guinea,1257,1,5,Emerging,
Rwanda,1703,1,5,Emerging,
