id,x,y
E14000911,15,24
E14000661,19,25
E14000969,18,26
E14000808,18,25
E14000627,18,27
E14001059,17,27
E14000809,17,26
E14000967,18,24
E14000738,19,27
E14000589,18,20
E14000766,17,20
E14000780,21,20
E14000777,21,21
E14000779,22,20
E14000778,23,21
E14000781,20,21
E14000886,20,20
E14000587,19,20
E14000925,17,21
E14000756,20,22
E14000836,22,22
E14000548,19,21
E14000826,22,21
E14000588,18,21
E14000723,19,22
E14000666,21,22
E14000724,23,22
E14000689,23,20
E14000919,19,26
E14000923,20,26
E14000922,21,27
E14000748,20,27
E14000904,21,25
E14000921,20,25
E14000541,20,24
E14000669,23,23
E14000668,22,24
E14000667,23,24
E14000903,22,27
E14000920,21,26
E14000542,21,24
E14001028,22,25
E14000876,19,24
E14000740,22,23
E14001009,21,23
E14000645,20,23
E14000614,18,22
E14000870,19,23
E14000897,17,22
E14000793,12,27
E14001043,14,30
E14000559,14,29
E14000581,12,26
E14001010,14,28
E14001007,20,41
E14000676,22,43
E14001005,21,44
E14000701,20,43
E14001040,23,45
E14000896,22,44
E14000984,22,46
E14000770,22,45
E14000741,23,39
E14000592,22,41
E14000731,23,40
E14000675,21,42
E14000737,20,42
E14000732,22,40
E14000906,21,41
E14000768,24,43
E14000726,22,42
E14000692,25,38
E14000752,25,40
E14000636,24,39
E14000656,24,46
E14000634,27,39
E14001013,28,40
E14000687,26,39
E14000720,27,40
E14001002,25,39
E14000751,30,41
E14000759,28,39
E14000657,29,41
E14000558,30,43
E14000900,29,40
E14000872,29,45
E14000869,30,44
E14000690,29,44
E14000787,28,44
E14000604,28,45
E14000718,28,43
E14000679,28,42
E14000696,29,43
E14000790,27,41
E14001032,27,42
E14000691,26,38
E14000760,28,41
E14000540,29,42
E14000553,26,43
E14000882,27,43
E14000555,26,42
E14000721,26,41
E14000764,25,41
E14000727,24,41
E14000703,24,40
E14001036,24,42
E14000591,23,41
E14000674,23,43
E14000593,21,43
E14001008,25,44
E14000639,25,43
E14000763,26,40
E14000750,25,42
E14000615,26,44
E14000673,26,45
E14000551,28,46
E14000654,25,46
E14000788,27,45
E14000789,27,44
E14000978,25,45
E14000655,27,46
E14000621,26,46
E14000823,23,46
S14000051,20,0
E14000887,23,44
E14000998,24,45
E14000549,24,44
E14000862,21,35
E14000649,17,36
E14000861,20,35
E14000985,20,33
E14000561,18,33
E14000563,17,34
E14000868,17,35
E14000565,13,37
E14000566,17,33
E14000564,16,34
E14000560,15,35
E14001029,16,33
E14000722,14,35
E14001030,14,34
E14000671,15,33
E14000672,13,34
E14000976,13,35
E14000531,19,32
E14001011,18,32
E14001012,19,33
E14001049,16,32
E14001050,17,32
E14001051,15,32
E14001016,15,34
E14000562,14,36
E14000931,15,36
E14000567,13,36
E14000568,16,35
E14000864,26,34
E14000816,25,34
E14000620,17,15
S14000006,15,10
S14000008,21,10
S14000059,19,6
S14000014,16,10
S14000027,16,0
S14000045,15,11
S14000020,17,11
S14000040,19,8
S14000019,18,8
S14000047,19,7
S14000003,17,9
S14000044,18,9
S14000023,20,9
S14000043,16,9
S14000028,20,7
S14000041,18,11
S14000017,19,11
S14000021,15,8
S14000052,18,5
S14000053,17,5
S14000010,15,9
S14000048,14,8
S14000011,18,6
S14000012,14,6
S14000018,20,6
S14000022,21,9
S14000026,19,9
S14000025,19,10
S14000024,20,10
S14000036,18,10
S14000038,16,5
S14000042,17,8
S14000056,16,8
S14000032,17,6
S14000030,18,7
S14000031,16,6
S14000034,16,7
S14000033,15,6
S14000035,15,7
S14000029,17,7
W07000048,6,37
E14000961,2,47
E14000838,5,44
E14000702,8,42
E14000635,10,44
E14000535,22,29
E14000629,23,42
E14000811,15,44
E14000989,14,32
E14000599,10,43
E14000650,16,36
