id,x,y
E14000792,25,30
E14001057,16,18
S14000054,19,5
S14000013,17,10
W07000049,6,38
S14000001,18,3
S14000002,19,3
S14000058,18,4
E14000530,17,43
W07000043,11,33
E14000814,21,30
E14000972,20,30
S14000004,19,4
N06000005,10,23
N06000012,9,23
N06000014,8,24
S14000005,16,3
E14000534,18,45
E14000536,30,48
E14000538,16,40
E14000539,15,39
S14000007,19,2
E14000543,17,18
E14000544,30,38
E14000545,15,43
E14000546,23,27
E14000547,9,44
E14000550,18,40
E14000552,20,39
E14000813,19,39
E14000841,19,37
E14000949,18,38
N06000001,10,25
N06000002,8,25
N06000003,10,24
N06000004,9,25
E14000554,21,11
E14000556,23,25
E14000557,27,48
E14000933,29,38
E14000569,17,17
E14000769,25,35
E14000570,14,20
E14000572,13,19
E14000573,14,19
W07000072,9,37
E14000622,30,40
W07000066,5,37
W07000067,9,36
W07000079,7,40
W07000080,8,40
W07000051,7,39
W07000050,8,39
E14000619,32,44
E14000618,19,31
E14000660,21,36
E14000937,22,37
E14000934,20,37
E14000855,23,36
E14000842,24,36
E14000617,21,37
S14000009,17,2
W07000076,8,38
W07000057,7,33
E14000613,25,36
E14000610,20,32
E14000609,16,20
E14000608,16,39
E14000533,22,30
E14000606,22,38
E14000818,13,38
E14000602,9,43
E14000601,7,44
E14000600,8,43
E14000598,22,47
E14000597,23,47
E14000596,25,28
E14000595,6,45
W07000073,5,40
E14000594,28,38
W07000068,10,36
E14000590,27,36
E14000586,17,42
E14000585,11,46
E14000584,12,46
E14000583,19,35
E14000582,24,32
E14000577,20,29
E14000576,18,46
E14000575,21,12
E14000574,18,15
W07000064,8,36
E14000625,22,34
E14000626,30,46
E14000628,26,37
E14000630,14,40
E14000631,19,40
E14000640,15,30
E14000632,22,28
E14000633,17,45
E14000637,15,21
E14000638,12,45
E14000643,23,26
W07000062,11,35
W07000059,10,34
E14000644,30,37
E14000646,17,29
W07000058,8,33
E14000647,16,17
E14000942,20,36
E14000837,3,46
E14000938,3,47
E14000991,11,42
E14000652,19,45
E14000653,17,30
W07000070,8,37
E14000658,19,17
E14000659,29,46
E14000977,16,37
W07000042,10,33
E14000662,20,31
E14000663,21,32
E14000843,20,28
E14000935,21,33
E14000664,19,29
E14000665,12,44
E14000678,8,46
E14000623,5,45
E14000950,5,47
E14001000,4,45
E14000815,10,46
E14000839,10,45
E14000936,9,47
E14001031,9,46
E14000670,31,47
E14000711,31,45
E14000607,23,30
E14001020,20,15
E14000707,24,29
E14000706,15,19
N06000008,7,23
E14000705,12,40
E14000704,29,48
N06000007,6,26
E14000700,30,47
E14000699,15,46
E14000616,1,48
E14000698,5,46
E14001045,29,37
E14000697,19,43
E14000695,21,31
E14000694,20,44
E14000693,27,38
E14000688,15,29
E14000686,16,30
E14000685,15,45
E14000684,26,48
E14000641,19,16
E14000856,17,16
E14000840,18,16
S14000015,17,4
S14000016,16,4
N06000015,8,26
N06000013,9,24
E14000712,12,39
S14000037,20,3
E14000713,15,47
W07000046,4,39
E14000714,24,33
E14000715,30,45
E14000716,24,27
E14000717,28,34
E14000719,20,45
E14000725,15,28
E14000680,16,44
E14000844,16,43
E14000857,13,43
E14001025,23,35
E14000729,26,36
E14000730,21,19
E14000733,21,16
E14000734,31,36
E14000735,28,48
E14000736,17,46
E14000739,21,39
E14000742,16,41
E14000743,11,36
E14000744,25,37
E14000845,24,38
E14001021,20,40
E14000745,22,39
E14000746,18,13
E14000749,21,38
E14000753,18,44
E14000677,21,15
E14000755,21,47
E14000771,24,24
E14000772,24,23
E14000773,22,26
E14000806,28,37
E14000804,29,47
E14000803,17,41
E14000802,19,28
E14000801,18,39
E14000800,17,39
E14000847,12,35
E14000798,25,29
E14000797,23,33
N06000006,8,23
W07000045,4,38
E14000710,24,30
E14000791,18,34
E14000786,25,48
E14000605,12,38
E14000858,22,33
E14000784,20,34
E14000783,21,34
E14000782,22,35
E14000776,17,19
E14001033,14,22
N06000009,7,24
E14000774,11,43
E14000878,26,35
E14000765,21,13
W07000077,10,37
E14000762,12,48
E14000761,30,36
S14000039,17,3
E14000758,15,20
E14000757,22,36
E14000810,21,29
E14000898,31,44
W07000061,9,35
W07000071,6,39
E14000819,22,16
E14000820,22,17
E14000651,18,37
E14000822,17,38
E14000824,21,46
W07000054,11,38
W07000063,10,35
S14000046,18,2
E14000825,19,18
W07000069,7,37
E14000827,13,45
E14000828,13,46
E14000829,21,28
E14000830,14,43
E14000834,18,30
E14000831,19,14
E14000832,19,13
E14000833,18,14
W07000055,10,38
W07000056,9,38
N06000011,7,26
E14000848,24,34
E14000859,23,34
E14001022,29,35
E14000941,28,35
E14000940,18,36
E14000812,17,37
E14000994,10,42
E14000863,27,34
E14000865,23,31
E14000866,23,29
E14000867,22,31
E14000648,24,35
S14000050,15,5
W07000074,5,39
E14000873,15,40
E14000874,14,41
E14000875,19,19
E14000877,17,14
S14000049,21,7
E14000952,27,35
E14000879,4,46
E14000880,4,47
W07000075,6,40
E14000881,10,47
E14000883,16,45
E14000884,16,46
E14000956,14,45
E14000955,14,46
E14000944,20,13
E14000603,26,33
E14000939,25,33
E14000932,9,45
E14000930,18,41
E14000929,24,31
E14000928,20,19
E14000927,31,46
E14000849,14,31
E14000926,14,33
E14000924,23,28
E14000918,28,47
E14000917,24,21
E14000915,18,17
E14000914,24,28
E14000913,21,18
E14000912,11,45
E14000964,0,48
E14000960,19,38
E14000910,23,37
E14000993,22,18
E14000909,23,32
E14000908,22,32
E14000907,18,42
E14000905,15,37
E14000902,16,21
S14000055,15,3
E14000901,13,44
E14000899,31,38
E14000895,20,18
E14000894,18,19
E14000943,14,21
W07000052,7,38
E14000893,21,45
E14000767,15,38
E14000891,21,17
E14000890,14,42
E14000889,15,42
E14000888,27,37
E14000885,16,19
W07000065,3,39
E14000957,30,39
E14000959,19,42
E14000965,17,31
E14000966,18,29
E14000945,12,36
E14000968,23,38
S14000057,14,5
E14000970,20,16
E14000971,20,17
E14000973,19,30
E14000974,18,31
E14000975,16,31
N06000016,9,26
E14000821,16,38
E14000980,12,41
E14000624,29,36
E14000946,28,36
E14000642,31,37
E14001034,24,37
E14000982,20,14
E14000754,21,14
E14000681,24,47
E14000983,18,43
E14000953,17,44
E14000817,20,46
W07000047,5,38
E14000851,12,42
E14000947,13,42
E14000986,19,34
E14000987,18,28
E14000988,7,46
E14000835,7,47
E14000799,12,34
E14000990,13,40
E14000852,32,45
E14000948,32,46
E14000995,29,39
E14000996,6,46
E14000997,26,47
E14000999,6,47
W07000053,11,37
E14001001,6,48
E14001003,1,47
E14001004,27,47
E14000709,19,15
E14001006,20,12
E14000853,19,12
N06000018,6,24
N06000010,6,25
N06000017,7,25
E14000683,24,20
E14001061,23,19
W07000041,8,31
E14001060,8,45
E14001058,12,37
E14001056,17,40
W07000044,11,34
E14000992,15,31
E14001055,19,46
E14000682,20,47
E14001053,16,16
E14001035,13,39
E14000892,14,38
E14001052,14,39
E14000850,9,42
E14001048,16,42
E14001047,19,44
E14001046,13,41
E14001042,19,41
E14001041,14,44
E14000860,12,43
E14001038,6,44
E14001037,18,18
E14000954,11,44
E14001027,20,38
E14001026,7,45
E14000728,19,36
E14001024,16,29
E14001023,25,47
E14000981,30,35
E14000951,21,40
E14000854,18,35
E14001019,14,37
E14001018,17,28
E14001017,16,28
E14001015,15,41
E14000846,8,44
E14001014,20,11
E14001062,22,19
W07000078,6,41
W07000060,9,33
E14001044,13,29
E14000958,12,25
E14001039,14,23
E14000963,15,27
E14000708,13,27
E14000805,13,24
E14000580,15,23
E14000785,15,25
E14000962,15,26
E14000775,14,25
E14000916,13,25
E14000794,13,26
E14000795,14,27
E14000796,14,26
E14000979,16,26
E14000532,16,27
E14000747,17,23
E14000612,16,22
E14000579,14,24
E14001054,16,25
E14000611,15,22
E14000578,16,23
E14000871,18,23
E14000537,17,24
E14000807,17,25
E14000571,16,24
