name,val1,val2,change,group,label
"Midland, TX",66433,90743,36.6,Best,yes
"Odessa, TX",53824,65498,21.7,Best,
"Grand Junction, CO",58787,65774,11.9,Best,
"Barnstable Town, MA",73015,80966,10.9,Best,
"New Orleans-Metairie, LA",56802,61743,8.7,Best,
"Burlington-South Burlington, VT",70212,76074,8.3,Best,
"Ocean City, NJ",60570,64401,6.3,Best,
"Lebanon, PA",69680,73925,6.1,Best,
"Lafayette, LA",60950,64605,6,Best,
"Wichita Falls, TX",59303,62637,5.6,Best,
"Albany-Schenectady-Troy, NY",73185,76768,4.9,,
"Gainesville, FL",54819,57471,4.8,,
"Kankakee, IL",66567,69630,4.6,,
"Amarillo, TX",60599,63254,4.4,,
"Johnstown, PA",60322,62795,4.1,,
"Lewiston-Auburn, ME",61821,64141,3.8,,
"Urban Honolulu, HI",64576,66939,3.7,,
"Charleston-North Charleston, SC",65305,67708,3.7,,
"Morgantown, WV",59013,61224,3.7,,
"Houma-Thibodaux, LA",57156,58867,3,,
"Pittsburgh, PA",67254,69002,2.6,,
"Virginia Beach-Norfolk-Newport News, VA-NC",68434,70124,2.5,,
"Norwich-New London, CT",78237,80192,2.5,,
"Dover, DE",66379,68044,2.5,,
"Baltimore-Columbia-Towson, MD",74760,76547,2.4,,
"Washington-Arlington-Alexandria, DC-VA-MD-WV",85930,87611,2,,
"Manchester-Nashua, NH",73656,75099,2,,
"Baton Rouge, LA",64554,65846,2,,
"Salisbury, MD-DE",70545,71875,1.9,,
"Bangor, ME",58848,59917,1.8,,
"San Luis Obispo-Paso Robles-Arroyo Grande, CA",65856,66898,1.6,,
"Oklahoma City, OK",65212,66202,1.5,,
"Boston-Cambridge-Newton, MA-NH",78530,79625,1.4,,
"Worcester, MA-CT",70348,71278,1.3,,
"Anchorage, AK",76653,77460,1.1,,
"Lubbock, TX",56760,57302,1,,
"Pensacola-Ferry Pass-Brent, FL",63798,64356,0.9,,
"Providence-Warwick, RI-MA",67501,67875,0.6,,
"Joplin, MO",59711,59990,0.5,,
"Corpus Christi, TX",60005,59840,-0.3,,
"Olympia-Tumwater, WA",70584,70203,-0.5,,
"McAllen-Edinburg-Mission, TX",40015,39752,-0.7,,
"Seattle-Tacoma-Bellevue, WA",78355,77627,-0.9,,
"Flagstaff, AZ",58572,58028,-0.9,,
"San Diego-Carlsbad, CA",64508,63841,-1,,
"San Francisco-Oakland-Hayward, CA",79818,78969,-1.1,,
"Laredo, TX",41215,40777,-1.1,,
"Glens Falls, NY",63336,62435,-1.4,,
"Hanford-Corcoran, CA",52697,51951,-1.4,,
"Las Cruces, NM",47661,46863,-1.7,,
"San Antonio-New Braunfels, TX",63765,62699,-1.7,,
"Syracuse, NY",67120,65933,-1.8,,
"Utica-Rome, NY",61964,60775,-1.9,,
"Redding, CA",56153,55095,-1.9,,
"Omaha-Council Bluffs, NE-IA",74227,72731,-2,,
"Bridgeport-Stamford-Norwalk, CT",81924,80294,-2,,
"Bremerton-Silverdale, WA",70306,68653,-2.3,,
"Buffalo-Cheektowaga-Niagara Falls, NY",67431,65885,-2.3,,
"State College, PA",58927,57579,-2.3,,
"Atlantic City-Hammonton, NJ",62551,61133,-2.3,,
"Portland-South Portland, ME",69908,68231,-2.4,,
"Hartford-West Hartford-East Hartford, CT",84213,82117,-2.5,,
"San Angelo, TX",57657,56175,-2.6,,
"Mobile, AL",60928,59368,-2.6,,
"Allentown-Bethlehem-Easton, PA-NJ",71608,69500,-2.9,,
"Bellingham, WA",63495,61585,-3,,
"Brownsville-Harlingen, TX",42674,41220,-3.4,,
"Harrisburg-Carlisle, PA",74575,71944,-3.5,,
"Richmond, VA",78084,75369,-3.5,,
"Eau Claire, WI",67453,64886,-3.8,,
"Fayetteville-Springdale-Rogers, AR-MO",66209,63636,-3.9,,
"Decatur, IL",68764,66115,-3.9,,
"Daphne-Fairhope-Foley, AL",66048,63417,-4,,
"New York-Newark-Jersey City, NY-NJ-PA",65916,63190,-4.1,,
"Ocala, FL",56531,54082,-4.3,,
"Trenton, NJ",80150,76700,-4.3,,
"Lynchburg, VA",66588,63636,-4.4,,
"Scranton--Wilkes-Barre--Hazleton, PA",61493,58803,-4.4,,
"Austin-Round Rock, TX",77997,74453,-4.5,,
"Springfield, IL",76784,73325,-4.5,,
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",71100,67655,-4.8,,
"Provo-Orem, UT",63460,60419,-4.8,,
"Waco, TX",59912,56975,-4.9,,
"North Port-Sarasota-Bradenton, FL",68415,64777,-5.3,,
"San Jose-Sunnyvale-Santa Clara, CA",91698,86833,-5.3,,
"East Stroudsburg, PA",69454,65807,-5.3,,
"Anniston-Oxford-Jacksonville, AL",60516,57056,-5.7,,
"Little Rock-North Little Rock-Conway, AR",69162,65181,-5.8,,
"Yuba City, CA",53569,50402,-5.9,,
"Santa Rosa, CA",70869,66560,-6.1,,
"Houston-The Woodlands-Sugar Land, TX",70570,66286,-6.1,,
"Bakersfield, CA",54270,50880,-6.2,,
"Auburn-Opelika, AL",61622,57786,-6.2,,
"Hilton Head Island-Bluffton-Beaufort, SC",73476,68951,-6.2,,
"Madera, CA",51623,48332,-6.4,,
"Minneapolis-St. Paul-Bloomington, MN-WI",84164,78676,-6.5,,
"Ogden-Clearfield, UT",75205,70312,-6.5,,
"New Haven-Milford, CT",68772,64320,-6.5,,
"Port St. Lucie, FL",63892,59703,-6.6,,
"Napa, CA",69126,64461,-6.7,,
"Columbia, MO",68343,63677,-6.8,,
"Cincinnati, OH-KY-IN",77139,71770,-7,,
"Los Angeles-Long Beach-Anaheim, CA",60383,55920,-7.4,,
"Augusta-Richmond County, GA-SC",68550,63485,-7.4,,
"Lancaster, PA",72173,66843,-7.4,,
"Vallejo-Fairfield, CA",69653,64348,-7.6,,
"Phoenix-Mesa-Scottsdale, AZ",68973,63722,-7.6,,
"Huntsville, AL",77056,71194,-7.6,,
"Gulfport-Biloxi-Pascagoula, MS",62342,57543,-7.7,,
"Chico, CA",53553,49438,-7.7,,
"Palm Bay-Melbourne-Titusville, FL",67540,62106,-8,,
"Riverside-San Bernardino-Ontario, CA",58467,53727,-8.1,,
"Yakima, WA",55655,51153,-8.1,,
"York-Hanover, PA",73942,67850,-8.2,,
"Columbus, OH",78587,72044,-8.3,,
"Lincoln, NE",75636,69345,-8.3,,
"Prescott, AZ",58665,53810,-8.3,,
"Cape Coral-Fort Myers, FL",67238,61559,-8.4,,
"Springfield, MA",68095,62291,-8.5,,
"Wausau, WI",75502,69075,-8.5,,
"Portland-Vancouver-Hillsboro, OR-WA",75381,68800,-8.7,,
"Binghamton, NY",63455,57953,-8.7,,
"Deltona-Daytona Beach-Ormond Beach, FL",59374,54120,-8.8,,
"El Paso, TX",50193,45765,-8.8,,
"Knoxville, TN",62806,57206,-8.9,,
"Reading, PA",72730,66291,-8.9,,
"Denver-Aurora-Lakewood, CO",83489,75962,-9,,
"Sacramento--Roseville--Arden-Arcade, CA",72650,66136,-9,,
"Bend-Redmond, OR",69793,63544,-9,,
"Punta Gorda, FL",62392,56716,-9.1,,
"Dallas-Fort Worth-Arlington, TX",74362,67460,-9.3,,
"Tucson, AZ",62937,56964,-9.5,,
"Blacksburg-Christiansburg-Radford, VA",64599,58258,-9.8,,
"Spokane-Spokane Valley, WA",64194,57916,-9.8,,
"Louisville/Jefferson County, KY-IN",73140,65717,-10.1,,
"Modesto, CA",60461,54269,-10.2,,
"Oxnard-Thousand Oaks-Ventura, CA",78290,70278,-10.2,,
"Greenville, NC",61420,55066,-10.3,,
"Salt Lake City, UT",74002,66199,-10.5,,
"Bloomington, IL",82618,73861,-10.6,,
